EVT_771012_OPTIONA;Great!;
EVT_771013_NAME;Russia Controls Siberia;
EVT_771013_DESC;Stability comes back to Siberia, where barbaric Mongols and the treacherous admiral Kolchak had been trying to drive Russia in chaos. Now our Siberian border is much more secure and we can strengthen ourselves in Siberia.;
EVT_771013_OPTIONA;Great!;
EVT_771014_NAME;Ukraine has left Mittleeuropa;
EVT_771014_DESC;The peasants and workers of the Ukraine have finally thrown off the shackles of German dependence, they have left the German-dominated Mitteleuropa alliance. This presents us with the unique opportunity to either reclaim some of the territories we were forced to give up through the treaty of Brest-Litovsk or try to create a powerful new military bloc in eastern Europe with the Ukraine.;
EVT_771014_OPTIONA;A perfect chance to reintegrate Ukraine by force!;
EVT_771014_OPTIONB;Offer an alliance to Ukraine.;
EVT_771014_OPTIONC;We don't care about Ukraine.;
EVT_771015_NAME;Ukraine has left Mittleeuropa;
EVT_771015_DESC;Powerful German armies had been protecting Ukraine from annexation since the October revolution. Now that the Ukranians have decided to break diplomatic relations with Germany in favour of the French we can reclaim the Ukraine. The peasants, who mostly are describing themselves as 'locals' instead of 'Ukrainians', are still angry about the agricultural crisis and they yearn for Tsarist era stability. Orthodox priests, many of them Russian, are complaining about closing churches and forced Ukranization.;
EVT_771015_OPTIONA;We will liberate the Ukraine from the evil Syndicalists by force!;
EVT_771015_OPTIONB;We will liberate the Ukraine from the evil Syndicalists by force!;
EVT_771015_OPTIONC;We will liberate the Ukraine from the evil Syndicalists by force!;
EVT_771015_OPTIOND;Start giving passports and citizenships to every Russian in Ukraine!;
EVT_771015_OPTIONE;Covert operations will be good enough.;
EVT_771015_OPTIONF;We don't care about the Ukraine.;
EVT_771016_NAME;Soviet Russia offers us an alliance!;
EVT_771016_DESC;The Russians have sent word that they consider our two states to be alike and they are suggesting that we should work together to promote the global cause of labour. What should we do?;
EVT_771016_OPTIONA;Of course, all proletarians should work together!;
EVT_771016_OPTIONB;We cannot trust the treacherous Russians!;
EVT_771017_NAME;Russia offers us an alliance!;
EVT_771017_DESC;The Russians have sent word that they consider our two states to be alike and they are suggesting that we should work together to promote the global cause of labour. What should we do?;
EVT_771017_OPTIONA;Of course, all proletarians should work together!;
EVT_771017_OPTIONB;We cannot trust the treacherous Russians!;
EVT_771018_NAME;A new power in the east!;
EVT_771018_DESC;The government of the Ukraine has accepted our offer, a new power in the east is born. With such a powerful alliance emerging on the global stage the future of the proletariat looks promising.;
EVT_771018_OPTIONA;Excellent!;
EVT_771019_NAME;Ukraine turned us down!;
EVT_771019_DESC;In their arrogance the government of the Ukraine has turned down our offer, saying that the ideological rift between us is too great for an alliance to form. How shall we react to this humiliation?;
EVT_771019_OPTIONA;They shall pay for their foolishness!;
EVT_771019_OPTIONB;Let them rot.;
EVT_753900_NAME;A new power in the east!;
EVT_753900_DESC;The government of the Ukraine has accepted our offer, a new power in the east is born. With such a powerful alliance emerging on the global stage the future of the proletariat looks promising.;
EVT_753900_OPTIONA;Excellent!;
EVT_753901_NAME;Ukraine turned us down!;
EVT_753901_DESC;In their arrogance the government of the Ukraine has turned down our offer, saying that the ideological rift between us is too great for an alliance to form. How shall we react to this humiliation?;
EVT_753901_OPTIONA;They shall pay for their foolishness!;
EVT_753901_OPTIONB;Let them rot.;
EVT_771021_NAME;Russians are giving passports!;
EVT_771021_DESC;Thousands of our citizens are rushing for passports given by the Russian government. This is a threat to our stability, security, and the integrity of our country! We must do something about this before they try to secede.;
EVT_771021_OPTIONA;Give them Crimea and Eastern Ukraine, they have a majority there.;
EVT_771021_OPTIONB;We will punish them, comrades to arms!;
EVT_771021_OPTIONC;Do nothing.;
EVT_771022_NAME;Our actions succeeded!;
EVT_771022_DESC;Ukrainians, fearing unrest, decided to give us Crimea and Eastern Ukraine. How we shall respond?;
EVT_771022_OPTIONA;We want all of the Ukraine!;
EVT_771022_OPTIONB;We are content with what we have.;
EVT_771023_NAME;Crimea and Eastern Ukraine seceded!;
EVT_771023_DESC;Our tolerance for Russian actions has allowed them to take Crimea and Eastern Ukraine.;
EVT_771023_OPTIONA;This means war!;
EVT_771023_OPTIONB;We will remember this!;
EVT_771024_NAME;Ukraine is dead, and we take...;
EVT_771024_DESC;The Russians in Eastern Ukraine and Crimea have rebelled, how much of the weakened Ukraine state will we take?;
EVT_771024_OPTIONA;Everything!;
EVT_771024_OPTIONB;only Eastern Ukraine and Crimea.;
EVT_771025_NAME;Russian coup succeed;
EVT_771025_DESC;We have managed to replace the Syndicalist Ukrainian government with a more loyal one.;
EVT_771025_OPTIONA;Great!;
EVT_771026_NAME;Russian coup failed;
EVT_771026_DESC;We have failed to replace the Syndicalist Ukrainian government with a more loyal one.;
EVT_771026_OPTIONA;Then we should declare war!;
EVT_771026_OPTIONB;Then we shall wait.;
EVT_771027_NAME;Russian coup in Ukraine - relations with Russia;
EVT_771027_DESC;Khruschev was dismissed by pro-Russian politicians. Now the future of the Ukraine lies in their hands. What will we do?;
EVT_771027_OPTIONA;Press for total unification!;
EVT_771027_OPTIONB;Only cooperation.;
EVT_771028_NAME;Malorossia wants to join Russia;
EVT_771028_DESC;The new Malorossian cabinet decided that they will fully join our motherland.;
EVT_771028_OPTIONA;Hooray!;
EVT_771028_OPTIONB;Keep them independent under our supervision.;
EVT_771028_OPTIONC;We don't need them!;
EVT_771029_NAME;Malorossia wants to create a union with Russia;
EVT_771029_DESC;The new Malorosian cabinet has decided that they will submit to Russia while keeping their state formally independent.;
EVT_771029_OPTIONA;Great!;
EVT_771029_OPTIONB;Claim the Ukraine!;
EVT_771029_OPTIONC;We don't need them.;
EVT_771034_NAME;Russia wants to seize Don-Kuban;
EVT_771034_DESC;The Russian ambassador has approached the minister of foreign affairs about dissolving the Don-Kuban Union. Since the '20s Germany has guaranteed our independence but the Russians look at them as a 'rebellious state'. If we withdraw support for the Cossacks and allow the annexation Russia would be much more eager to cooperate with us. Let's remember that Russia has many means of interfering in Don-Kuban so even if we refuse to talk the situation in the Caucasus can change.;
EVT_771034_OPTIONA;The Russians are right, it's a part of their country.;
EVT_771034_OPTIONB;Don-Kuban is our partner! Never.;
EVT_771035_NAME;Russia wants to seize us!;
EVT_771035_DESC;Germany decided to leave us alone. Now we are defenceless against the mighty Russian armies!;
EVT_771035_OPTIONA;A preemptive strike is neccessary!;
EVT_771035_OPTIONB;Surrender.;
EVT_771036_NAME;Claims on Don-Kuban Union;
EVT_771036_DESC;Our skillful diplomacy was able to provoke the Don-Kuban Union into declaring war upon us. Now we can finally reclaim the Don-Kuban union without needing to worry about international reactions.;
EVT_771036_OPTIONA;Great!;
EVT_771037_NAME;Don Kuban surrendered!;
EVT_771037_DESC;Novorossiysk and Grozny are coming back to the Motherland.;
EVT_771037_OPTIONA;Great!;
EVT_771043_NAME;Germans refuse to give up on Don-Kuban;
EVT_771043_DESC;Despite our best efforts the Germans have refused to withdraw their guarantee of independence of the Don-Kuban Union. We must think about other ways of seizing the Cossack state.;
EVT_771043_OPTIONA;The Russians shall rise up!;
EVT_771043_OPTIONB;Influence local business leaders to organise a plebiscite!;
EVT_771043_OPTIONC;Forget about it.;
EVT_771038_NAME;The country is thrown into chaos!;
EVT_771038_DESC;Russian agitators has fueled popular opinion against the Cossacks. The Russians in our countryside and in our cities have rebelled. Chechens and Ingushens have declared a jihad against our government. The Country is in chaos, what will happen next?;
EVT_771038_OPTIONA;The rebels seize the capital!;
EVT_771038_OPTIONB;The rebels are crushed!;
EVT_771039_NAME;Russian Coup succeeds in Don-Kuban Union;
EVT_771039_DESC;Russians and Caucasian tribes have defeated the Cossacks. the future of the Don-Kuban lies in our hands.;
EVT_771039_OPTIONA;The Don-Kuban Union comes back to the Motherland!;
EVT_771039_OPTIONB;We will puppet them.;
EVT_771040_NAME;Business leaders want plebiscite;
EVT_771040_DESC;Local business leaders, inspired by the Russians, want a plebiscite concerning the future of our nation. How should we respond?;
EVT_771040_OPTIONA;Allow;
EVT_771040_OPTIONB;Don't allow;
EVT_771041_NAME;Plebiscite;
EVT_771041_DESC;The people are flocking to the polling stations. Perhaps democracy can work from time to time.;
EVT_771041_OPTIONA;Don-Kuban joins Russia!;
EVT_771041_OPTIONB;Don-Kuban will remain independent.;
EVT_771042_NAME;Problem with Don-Kuban;
EVT_771042_DESC;It seems that our peaceful policy towards the Don-Kuban has failed. Now we have to reconsider more aggressive paths.;
EVT_771042_OPTIONA;Perhaps we have to overthrow Cossack rule over Don-Kuban.;
EVT_771042_OPTIONB;It means war!;
EVT_771042_OPTIONC;Attack only if the Germans won't help them.;
EVT_771042_OPTIOND;The Cossack state is more stable than we thought, we can't defeat them.;
EVT_750845_NAME;The Baku Oil Fields;
EVT_750845_OPTIONA;Take over the Baku Oil Concern and control their Government!;
EVT_750845_OPTIONB;Guarantee the security of Azerbaijan and invest in the oil fields.;
EVT_750845_OPTIONC;Who built Baku's oil plants? Make plans for a hostile takeover!;
EVT_750845_OPTIOND;We shall take back our stolen plants by force, right now!;
EVT_750845_OPTIONE;We need neither oil nor entanglements in the Caucasus!;
EVT_750847_NAME;Russian Investment;
EVT_750847_DESC;The Russian Government has purchased a massive stake in the Baku Oil Concern and are planning on administering, securing and building up large portions of our oil fields themselves. This would mean that we would lose control over much of our government but would at least present us with a powerful patron.;
EVT_750847_OPTIONA;Invite the Russians to protect and develop Azerbaijan.;
EVT_750847_OPTIONB;Decline the offer, attempt to limit Russian influence!;
EVT_902010_NAME;Azerbaijani resistance;
EVT_902010_DESC;The foolish Azerbaijani government rejected our attempts to exert our influence over their government. How shall we react to this insolence?;
EVT_902010_OPTIONA;War will solve this!;
EVT_902010_OPTIONB;Back down.;
EVT_750848_NAME;The Azeris agree!;
EVT_750848_DESC;Azerbaijan has accepted our purchase of a majority stake in their state oil industry. This gives us a large enough foothold to either totally dominate the economy and government of the country or attempt to begin plans to reincorporate them into Russia.;
EVT_750848_OPTIONA;Establish control over the Azeri economy.;
EVT_750848_OPTIONB;Start to plan on how best to incorporate Azerbaijan into Russia!;
EVT_902022_NAME;Azerbaijani Autonomy;
EVT_902022_DESC;With Russian domination over Azerbaijan stable some members of our goverment think that the time has come for the integration of Azerbaijan into the growing Russian empire. It would be quite easy to pass a series of laws which would ensure that the region is more firmly integrated into Russia.;
EVT_902022_OPTIONA;It is time for Russia to directly rule over Azerbaijan!;
EVT_902022_OPTIONB;Azerbaijan must remain autonomous.;
EVT_771060_NAME;Fate of White Ruthenia;
EVT_771060_DESC;The former White Ruthenian state is now under our direct military control. We cannot hope to keep the areas of the former state in line for too long, though. Most politicians are calling for the restoration of White Ruthenia as a buffer state, with the eastern parts of the country directly integrated into Russia. However, nationalists strongly disagree with this kind of solution and instead they demand that White Ruthenia be permanently integrated into Russia.;
EVT_771060_OPTIONA;Restore White Ruthenia's 1936 borders!;
EVT_771060_OPTIONB;Integrate areas with a Russian majority and restore White Ruthenia!;
EVT_771060_OPTIONC;Integrate White Ruthenia into Russia!;
EVT_771061_NAME;Fate of the White Ruthenia;
EVT_771061_DESC;The former White Ruthenian state is now under our direct military control. We cannot hope to keep the areas of the former state in line for too long, though. Most politicians are calling for the restoration of White Ruthenia as a buffer state, with the eastern parts of the country directly integrated into Russia. However, nationalists strongly disagree with this kind of solution and instead they demand that White Ruthenia be permanently integrated into Russia.;
EVT_771061_OPTIONA;Restore White Ruthenia's 1936 borders!;
EVT_771061_OPTIONB;Integrate areas with a Russian minority and restore White Ruthenia!;
EVT_771061_OPTIONC;Integrate White Ruthenia into Russia!;
EVT_771062_NAME;Independence of the White Ruthenia;
EVT_771062_DESC;We have decided that it will be in Russia's best interest if an independent White Ruthenia emerges on the Russian border. How much independence will it really have?;
EVT_771062_OPTIONA;Puppet them!;
EVT_771062_OPTIONB;Full independence!;
EVT_901935_NAME;Form up the troops!;
EVT_901935_DESC;gerarmedfor;
EVT_771063_NAME;Minority policies in White Ruthenia;
EVT_771063_DESC;We have decided that it will be in Russia's best interest if White Ruthenia is absorbed into Russia. Now an important question arises about our minority policies towards our new subjects. Shall we continue with the pre-1914 Russification policies?;
EVT_771063_OPTIONA;Guarantee wide rights for all minorities in White Ruthenia!;
EVT_771063_OPTIONB;Restore Russification policies!;
EVT_771064_NAME;Minority policies in White Ruthenia;
EVT_771064_DESC;We have decided that it will be in Russia's best interest if White Ruthenia is absorbed into Russia. Now an important question arises about our minority policies towards our new subjects. Shall we continue with the pre-1914 Russification policies?;
EVT_771064_OPTIONA;Guarantee wide rights for all minorities in White Ruthenia!;
EVT_771064_OPTIONB;Restore Russification policies!;
EVT_771065_NAME;Integration of the White Ruthenia;
EVT_771065_DESC;The territories of the former White Ruthenian states are now fully absorbed into Mother Russia.;
EVT_771065_OPTIONA;Great!;
EVT_771066_NAME;Russification policies succesful;
EVT_771066_DESC;Thanks to our successful Russification policies the territories of White Ruthenia are now fully absorbed into Mother Russia.;
EVT_771066_OPTIONA;Great!;
EVT_771067_NAME;Fate of the Ukraine;
EVT_771067_DESC;The former Ukrainian state is now under our direct military control. We cannot hope to keep the areas of the former state in line for too long, though. Most politicians argue for the restoration of the Ukraine as a buffer state with the eastern parts of the country directly integrated into Russia. However, nationalists strongly disagree with this kind of solution and instead they demand that the Ukraine be permanently integrated into Russia.;
EVT_771067_OPTIONA;Restore Ukraine's 1936 borders!;
EVT_771067_OPTIONB;Integrate areas with a Russian majority and restore Ukraine!;
EVT_771067_OPTIONC;Integrate the Ukraine into Russia!;
EVT_771068_NAME;Fate of the Ukraine;
EVT_771068_DESC;The former Ukrainian state is now under our direct military control. We cannot hope to keep the areas of the former state in line for too long, though. Most politicians argue for the restoration of the Ukraine as a buffer state with the eastern parts of the country directly integrated into Russia. However, nationalists strongly disagree with this kind of solution and instead they demand that the Ukraine be permanently integrated into Russia.;
EVT_771068_OPTIONA;Restore Ukraine's 1936 borders!;
EVT_771068_OPTIONB;Integrate areas with a Russian minority and restore the Ukraine!;
EVT_771068_OPTIONC;Integrate the Ukraine into Russia!;
EVT_771069_NAME;Independence of Ukraine;
EVT_771069_DESC;We have decided that it will be in Russia's best interest if an independent Ukraine emerges on the Russian border. How much independence will it really have?;
EVT_771069_OPTIONA;Puppet them!;
EVT_771069_OPTIONB;Full independence!;
EVT_901936_NAME;Form Up the Troops!;
EVT_901936_DESC;gerarmedfor;
EVT_771070_NAME;Minority policies in the former Ukraine;
EVT_771070_DESC;We have decided that it will be in Russia's best interest to integrate the Ukraine into Russia. An important question arises about our policies towards our new subjects. Shall we continue with the pre-1914 Russification policies?;
EVT_771070_OPTIONA;Guarantee wide rights for all minorities in Ukraine!;
EVT_771070_OPTIONB;Restore Russification policies!;
EVT_771071_NAME;Minority policies in the former Ukraine;
EVT_771071_DESC;We have decided that it will be in Russia's best interest to integrate the Ukraine into Russia. An important question arises about our policies towards our new subjects. Shall we continue with the pre-1914 Russification policies?;
EVT_771071_OPTIONA;Guarantee wide rights for all minorities in the White Ruthenia!;
EVT_771071_OPTIONB;Restore Russification policies!;
EVT_771072_NAME;Integration of Ukraine;
EVT_771072_DESC;Territories of the former Ukrainian state are now fully absorbed into Mother Russia.;
EVT_771072_OPTIONA;Great!;
EVT_771073_NAME;Russification policies successful;
EVT_771073_DESC;Thanks to our successful Russification policies the former Ukrainian state is now fully absorbed into Mother Russia.;
EVT_771073_OPTIONA;Great!;
EVT_771044_NAME;To Russia with love?;
EVT_771044_DESC;Many conservative politicians, influential industrialists and high-ranking officers are pressing us to send a mission to Russia. The former First Lord of the Admirality and Minister of War, Winston Churchill, has become the leader of the ;
EVT_771044_OPTIONA;Send Churchill!;
EVT_771044_OPTIONB;This is a waste of time.;
EVT_771045_NAME;Canadian-Russian cooperation;
EVT_771045_DESC;The Canadian Prime Minister has sent a British-Canadian mission to Russia to help in the modernisation of the army and improving the efficiency of our war industry. The commission is led by Winston Churchill, who has impressed the Russian officials with his achievements in both military and civilian fields. It is widely speculated that Canadian companies will invest large sums of money in our high-technology companies and factories crucial for warfare.;
EVT_771045_OPTIONA;It will strengthen the Entente!;
EVT_771046_NAME;Canadian companies are investing!;
EVT_771046_DESC;One of the advantages of being in the Entente is a high interest of Canadian corporations and firms in our market. As we develop we need machinery which can hardly be manfactured in our country. Foreign investment will help in modernization efforts. This will benefit both us and Canada.;
EVT_771046_OPTIONA;It will strengthen the Entente!;
EVT_771260_NAME;Help for Russian - Australasian Trade?;
EVT_771260_DESC;Recently the Russian Ministry of Foreign Relations has forwarded the proposition of tightening relations between us. We know from confidential sources that our mining companies are interested in Siberian deposits of diamonds, copper, and other various metals and minerals and they will need our support. We have to decide whether or not corporations can invest in Russia, thus helping to strenghten relations with them.;
EVT_771260_OPTIONA;Yes, we will grant them money!;
EVT_771260_OPTIONB;No, this is a waste of resources.;
EVT_771047_NAME;Australian corporations are investing in Siberia!;
EVT_771047_DESC;Despite the unstable situation at the Siberian border Australasian minining companies are investing! That's a sign that Australasian-Russian friendship is blossoming.;
EVT_771047_OPTIONA;Great!;
EVT_771048_NAME;Mission to Russia?;
EVT_771048_DESC;Unlike Canada or Australasia we can't disperse our limited industrial potential to help the backwards members of the Entente. We have a lot of good officers, however, which we could send to Russia to help the Russian army in its modernization.;
EVT_771048_OPTIONA;Yes, we can!;
EVT_771048_OPTIONB;No, it's impossible.;
EVT_771049_NAME;French mission to Russia;
EVT_771049_DESC;Nationalist Frenchmen, hoping to emphasize their importance in the Entente, have decided to send a military mission to Russia. The mission was quite sucessful as we have learned many things from French generals, who are in favour of sending instructors to our officer colleges to teach them guerrilla warfare.;
EVT_771049_OPTIONA;Great!;
EVT_771051_NAME;'Eurasian Bloc';
EVT_771051_DESC;Our Russian allies have proposed the creation of a Eurasian bloc to spread the influence of our alliance to other countries in the world, especially in Asia. Another reason for that move may be strenghtening our image in Russia, which is not very good. If we accept this we will show our strength to the whole world, particulary to Germany and Canada which are Pacific superpowers.;
EVT_771051_OPTIONA;Yes! We will bring together Europe and Asia!;
EVT_771051_OPTIONB;No, we don't need formalities.;
EVT_771052_NAME;Trade relations between Russia and Japan;
EVT_771052_DESC;The Japanese Committee for Pacific Trade suggests that the trade between our two countries isn't profitable due to tariffs imposed by both countries. If we abolished the tariffs and facilitated the procurement of licences we would convince the Japanese government that we want to expand trade between allied countries, maybe even persuade them to do the same. Lowering the tarrifs would significantly increase the importance of Russian-Japanese trade.;
EVT_771052_OPTIONA;Yes, our allies need special treatment.;
EVT_771052_OPTIONB;No, the tarrifs will stay!;
EVT_771053_NAME;Helping the growth of Russian-Japanese trade;
EVT_771053_DESC;The Russians have, in order to increase commerce between Russia and Japan, lowered the tariffs and facilitated the bureaucracy. It's a good idea to do the same.;
EVT_771053_OPTIONA;Yes, it's a good idea!;
EVT_771053_OPTIONB;No, the tariffs will stay!;
EVT_771054_NAME;Russia-Japan is profitable again!;
EVT_771054_DESC;Due to both our nations lowering the tariffs, sea trade between Russia and Japan has become profitable enough to let Vladivostok flourish!;
EVT_771054_OPTIONA;That's great!;
EVT_771055_NAME;Russia-Japan is profitable again!;
EVT_771055_DESC;Due to our nations lowering the tariffs, sea trade between Russia and Japan has become profitable enough to let Kanazawa flourish!;
EVT_771055_OPTIONA;That's great!;
EVT_771056_NAME;Great Patriotic War against the Commune of France;
EVT_771056_OPTIONA;We will march through Avenue des Champs-Élysées!;
EVT_771057_NAME;Great Patriotic War against the Commune of France;
EVT_771057_OPTIONA;We will march through Avenue des Champs-Élysées!;
EVT_771058_NAME;Great Patriotic War against the German Empire;
EVT_771058_OPTIONA;We will march under Brandenburg Gate!;
EVT_771059_NAME;Great Patriotic War against the German Empire;
EVT_771059_OPTIONA;We will march under Brandenburg Gate!;
EVT_771080_NAME;Choosing sides;
EVT_771080_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_771080_OPTIONA;We have special bonds with the Entente.;
EVT_771080_OPTIONB;We can cooperate with Germany.;
EVT_771080_OPTIONC;We will create a new global alliance!;
EVT_771080_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771081_NAME;Choosing sides;
EVT_771081_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure ourselves from the Syndicalists and German expansion.;
EVT_771081_OPTIONA;We have special bonds with the Entente.;
EVT_771081_OPTIONB;We can cooperate with Germany.;
EVT_771081_OPTIONC;We will create a new global alliance!;
EVT_771081_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771082_NAME;Choosing sides;
EVT_771082_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure ourselves from the Syndicalists and German expansion.;
EVT_771082_OPTIONA;We have special bonds with the Entente.;
EVT_771082_OPTIONB;We can cooperate with Germany.;
EVT_771082_OPTIONC;We will create a new global alliance!;
EVT_771082_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771083_NAME;Choosing sides;
EVT_771083_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_771083_OPTIONA;We have special bonds with the Entente.;
EVT_771083_OPTIONB;We can cooperate with Germany.;
EVT_771083_OPTIONC;We will create a new global alliance!;
EVT_771083_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771084_NAME;Choosing sides;
EVT_771084_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure the Tsardom from Syndicalists and to prevent German expansion.;
EVT_771084_OPTIONA;We have special bonds with the Entente.;
EVT_771084_OPTIONB;We can cooperate with Germany.;
EVT_771084_OPTIONC;We will create a new global alliance!;
EVT_771084_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771085_NAME;Choosing sides;
EVT_771085_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new alliance which will eventually lead all countries to a brighter future!;
EVT_771085_OPTIONA;We have special bonds with the Entente.;
EVT_771085_OPTIONB;We can cooperate with Germany.;
EVT_771085_OPTIONC;We will create a new global alliance!;
EVT_771085_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710831_NAME;Choosing sides;
EVT_7710831_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_7710831_OPTIONA;We have special bonds with the Entente.;
EVT_7710831_OPTIONB;We can cooperate with Germany.;
EVT_7710831_OPTIONC;We will create a new global alliance!;
EVT_7710831_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710841_NAME;Choosing sides;
EVT_7710841_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure the Tsardom from Syndicalists and to prevent German expansion.;
EVT_7710841_OPTIONA;We have special bonds with the Entente.;
EVT_7710841_OPTIONB;We can cooperate with Germany.;
EVT_7710841_OPTIONC;We will create a new global alliance!;
EVT_7710841_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710851_NAME;Choosing sides;
EVT_7710851_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new alliance which will eventually lead all countries to a brighter future!;
EVT_7710851_OPTIONA;We have special bonds with the Entente.;
EVT_7710851_OPTIONB;We can cooperate with Germany.;
EVT_7710851_OPTIONC;We will create a new global alliance!;
EVT_7710851_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710832_NAME;Choosing sides;
EVT_7710832_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_7710832_OPTIONA;We have special bonds with the Entente.;
EVT_7710832_OPTIONB;We can cooperate with Germany.;
EVT_7710832_OPTIONC;We will create a new global alliance!;
EVT_7710832_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710842_NAME;Choosing sides;
EVT_7710842_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure the Tsardom from Syndicalists and to prevent German expansion.;
EVT_7710842_OPTIONA;We have special bonds with the Entente.;
EVT_7710842_OPTIONB;We can cooperate with Germany.;
EVT_7710842_OPTIONC;We will create a new global alliance!;
EVT_7710842_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710852_NAME;Choosing sides;
EVT_7710852_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new alliance which will eventually lead all countries to a brighter future!;
EVT_7710852_OPTIONA;We have special bonds with the Entente.;
EVT_7710852_OPTIONB;We can cooperate with Germany.;
EVT_7710852_OPTIONC;We will create a new global alliance!;
EVT_7710852_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710833_NAME;Choosing sides;
EVT_7710833_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_7710833_OPTIONA;We have special bonds with the Entente.;
EVT_7710833_OPTIONB;We can cooperate with Germany.;
EVT_7710833_OPTIONC;We will create a new global alliance!;
EVT_7710833_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710843_NAME;Choosing sides;
EVT_7710843_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente to secure the Tsardom from Syndicalists and to prevent German expansion.;
EVT_7710843_OPTIONA;We have special bonds with the Entente.;
EVT_7710843_OPTIONB;We can cooperate with Germany.;
EVT_7710843_OPTIONC;We will create a new global alliance!;
EVT_7710843_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_7710853_NAME;Choosing sides;
EVT_7710853_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new alliance which will eventually lead all countries to a brighter future!;
EVT_7710853_OPTIONA;We have special bonds with the Entente.;
EVT_7710853_OPTIONB;We can cooperate with Germany.;
EVT_7710853_OPTIONC;We will create a new global alliance!;
EVT_7710853_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771086_NAME;Choosing sides;
EVT_771086_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_771086_OPTIONA;We have special bonds with the Entente.;
EVT_771086_OPTIONB;We can cooperate with Germany.;
EVT_771086_OPTIONC;We will create a new global alliance!;
EVT_771086_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771087_NAME;Choosing sides;
EVT_771087_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_771087_OPTIONA;We have special bonds with the Entente.;
EVT_771087_OPTIONB;We can cooperate with Germany.;
EVT_771087_OPTIONC;We will create a new global alliance!;
EVT_771087_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771088_NAME;Choosing sides;
EVT_771088_DESC;Now the hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is not to join any alliances at all or create a new alliance.;
EVT_771088_OPTIONA;We have special bonds with the Entente.;
EVT_771088_OPTIONB;We can cooperate with Germany.;
EVT_771088_OPTIONC;We will create a new global alliance!;
EVT_771088_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771089_NAME;Choosing sides;
EVT_771089_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente in their struggle against Syndicalism.;
EVT_771089_OPTIONA;We have special bonds with the Entente.;
EVT_771089_OPTIONB;We can cooperate with Germany.;
EVT_771089_OPTIONC;We will create a new global alliance!;
EVT_771089_OPTIOND;We don't need any allies, we will stay out of global affairs.;
