#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
EVT_755022_DESC;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission.;;;;;;;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission.;;;x;
EVT_755023_DESC;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission. After that, he reassumed his post as Chief Minister.;;;;;;;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission. After that, he reassumed his post as Chief Minister.;;;x;
EVT_755024_DESC;After dozens of surveys during the past months, a comission made up of members of the BOC, CBT and PSR, led by Minervino de Oliveira, has produced a white paper detailing three main plans for agrarian reform in Brazil. 'Plan A', defended by the BOC, proposes the collectivization of all arable land and their reorganization into smallers plots, headed by the peasants themselves, who will then organize and combine into cooperatives to sell their produce. The CBT-supported 'Plan B' sees the confiscation of all land by the federal government and its reorganization into grand state farms employing the majority of the rural population. There's still one more possibility, the 'Plan C' defended by the PSR. This third, more moderate option, proposes the collectivization of all the bigger farms and lands, while leaving the medium-sized and smaller lands still as private property. Plan C also defends the confiscation of unused plots and their reorganization into cooperatives - a system similar to the Ejidos adopted by Mexico after their revolution. Any of these options will make the big landowners complain, of course, but we must stick to our plans if we want the betterment of Brazil!;;;;;;;After dozens of surveys during the past months, a comission made up of members of the BOC, CBT and PSR, led by Minervino de Oliveira, has produced a white paper detailing three main plans for agrarian reform in Brazil. 'Plan A', defended by the BOC, proposes the collectivization of all arable land and their reorganization into smallers plots, headed by the peasants themselves, who will then organize and combine into cooperatives to sell their produce. The CBT-supported 'Plan B' sees the confiscation of all land by the federal government and its reorganization into grand state farms employing the majority of the rural population. There's still one more possibility, the 'Plan C' defended by the PSR. This third, more moderate option, proposes the collectivization of all the bigger farms and lands, while leaving the medium-sized and smaller lands still as private property. Plan C also defends the confiscation of unused plots and their reorganization into cooperatives - a system similar to the Ejidos adopted by Mexico after their revolution. Any of these options will make the big landowners complain, of course, but we must stick to our plans if we want the betterment of Brazil!;;;x;
EVT_755025_DESC;A group of coronéis - the traditional landed oligarchs of the northeastern states - has met today in Fortaleza, Ceará, and delivered a letter to the state governor to be handed to the President. On this document, they express their concern over 'the takeover of Brazil by socialist bandits' and promise to fight for the integrity of their lands. They also spoke on the 'supposed' support of the local peasants to the land reform. In fact, they say, most of the poorer farmers actually feel protected under the patronage of the coronéis!;;;;;;;A group of coronéis - the traditional landed oligarchs of the northeastern states - has met today in Fortaleza, Ceará, and delivered a letter to the state governor to be handed to the President. On this document, they express their concern over 'the takeover of Brazil by socialist bandits' and promise to fight for the integrity of their lands. They also spoke on the 'supposed' support of the local peasants to the land reform. In fact, they say, most of the poorer farmers actually feel protected under the patronage of the coronéis!;;;x;
EVT_755027_DESC;The landed oligarchs of São Paulo have presented us with an issue. With coffee prices falling day by day on the international markets, these farmers are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't act now, the deepening agricultural crisis will end up affecting not only the grand farmers, but also the poorer peasants that have just been benefited through our programmes.;;;;;;;The landed oligarchs of São Paulo have presented us with an issue. With coffee prices falling day by day on the international markets, these farmers are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't act now, the deepening agricultural crisis will end up affecting not only the grand farmers, but also the poorer peasants that have just been benefited through our programmes.;;;x;
EVT_755029_DESC;News of the compromise between the elites and the government against the peasants of Brazil, who were expecting a broad land reform programme, has already reached the streets. Discontent is much apparent. Over the last few days, a sector of Tenentista officers of our army, under the leadership of Luís Carlos Prestes and Isidoro Dias Lopes, has been setting up a plan to overthrow Edgard Leuenroth and, with this, 'save the socialist project for Brazil from being aborted by an weak, uncommited and incompetent president'. News of this growing conspiracy have already reached some parts of our cabinet. Now, how should our government act? We can't simply dismiss Prestes from the army, as that would bring the whole armed forces against the government. We could, instead, remove him from his present post and relocate him to some remote station... That would be enough of a punishment for him and would save everyone from any major scandal. Or we could embrace his conspiracy and put him on the presidency.;;;;;;;News of the compromise between the elites and the government against the peasants of Brazil, who were expecting a broad land reform programme, has already reached the streets. Discontent is much apparent. Over the last few days, a sector of Tenentista officers of our army, under the leadership of Luís Carlos Prestes and Isidoro Dias Lopes, has been setting up a plan to overthrow Edgard Leuenroth and, with this, 'save the socialist project for Brazil from being aborted by an weak, uncommited and incompetent president'. News of this growing conspiracy have already reached some parts of our cabinet. Now, how should our government act? We can't simply dismiss Prestes from the army, as that would bring the whole armed forces against the government. We could, instead, remove him from his present post and relocate him to some remote station... That would be enough of a punishment for him and would save everyone from any major scandal. Or we could embrace his conspiracy and put him on the presidency.;;;x;
EVT_755030_DESC;Army units all over the country have been mobilized over the past few hours as news of the launching of a military coup under captain Luís Carlos Prestes and general Isidoro Dias Lopes have reached the barracks. The uprising started in São Paulo, as troops occupied police stations and the main public buildings, a move that soon followed on all the capitals and major cities. In Rio de Janeiro, president Edgard Leuenroth fled to the mountain areas of the state with his cabinet, while Prestes and Isidoro entered the Palácio do Catete. Prestes and Isidoro then delivered a long speech before the Senate announcing the formation of a new provisional military government, which 'will keep Brazil on its course to progress and socialism, without fearing the ramblings of the reactionary elites'.;;;;;;;Army units all over the country have been mobilized over the past few hours as news of the launching of a military coup under captain Luís Carlos Prestes and general Isidoro Dias Lopes have reached the barracks. The uprising started in São Paulo, as troops occupied police stations and the main public buildings, a move that soon followed on all the capitals and major cities. In Rio de Janeiro, president Edgard Leuenroth fled to the mountain areas of the state with his cabinet, while Prestes and Isidoro entered the Palácio do Catete. Prestes and Isidoro then delivered a long speech before the Senate announcing the formation of a new provisional military government, which 'will keep Brazil on its course to progress and socialism, without fearing the ramblings of the reactionary elites'.;;;x;
EVT_755031_DESC;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Alternatively, given that a small band of Lampião's cangaceiros are approaching that city, this also could be a chance to test their loyalty to us. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;;;;;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Alternatively, given that a small band of Lampião's cangaceiros are approaching that city, this also could be a chance to test their loyalty to us. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;x;
EVT_755032_DESC;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;;;;;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;x;
EVT_755033_DESC;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has suceeded in their mission! Having arrived on Recife the previous night, the men moved northwest to Chico Heráclio's ranch. After a quick gunfight which left five of his jagunços dead, the remaining thugs surrendered. The hostages - two men and one woman - were freed and finally proceeded to deliver their eviction note to Heráclio, who was then arrested. This farm, formerly a land of exploitation, will be plowed by his own former employees. Now that we have shown the coronéis our force and will to defend our ideals, the land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;;;;;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has suceeded in their mission! Having arrived on Recife the previous night, the men moved northwest to Chico Heráclio's ranch. After a quick gunfight which left five of his jagunços dead, the remaining thugs surrendered. The hostages - two men and one woman - were freed and finally proceeded to deliver their eviction note to Heráclio, who was then arrested. This farm, formerly a land of exploitation, will be plowed by his own former employees. Now that we have shown the coronéis our force and will to defend our ideals, the land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;x;
EVT_755034_DESC;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has failed in their mission! Having arrived on Recife the previous night, the mission probably fell victim of an informant. As the men moved northwest to Chico Heráclio's ranch, a band of thirty jagunços shot on our surprised troops! Ten of our men died on the scene, and a fierce gunfight ensued, in which twelve of the thugs fell. An advanced party ran to the farmhouse only to find the three hostages - two men and one woman - dead and Chico Heráclio fleeing to the hinterlands. We have been humiliated! Not only that, but now he have to deal with the conservative state governors who take us responsible for the bloodbath!;;;;;;;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has failed in their mission! Having arrived on Recife the previous night, the mission probably fell victim of an informant. As the men moved northwest to Chico Heráclio's ranch, a band of thirty jagunços shot on our surprised troops! Ten of our men died on the scene, and a fierce gunfight ensued, in which twelve of the thugs fell. An advanced party ran to the farmhouse only to find the three hostages - two men and one woman - dead and Chico Heráclio fleeing to the hinterlands. We have been humiliated! Not only that, but now he have to deal with the conservative state governors who take us responsible for the bloodbath!;;;x;
EVT_755035_DESC;While Lampião and his band were approaching the city of Limoeiro, they were attacked by a small patrol of the Força Pública. The ill-prepared policemen, however, were no match for the cangaceiros, who proceeded to take control of the local police station and remaining public buildings. Meanwhile, the main force of thirty men under Lampião himself advanced towards Chico Heráclio's ranch, and a quick gunfight with the jagunços followed. Two of the cangaceiros fell on the scene, but they managed to kill or capture all thirty of Heráclio's thugs. Another five of Lampião's men raided the main farmhouse, where they found the three hostages - two men and one woman. As they were approaching one of the rooms to apprehend Chico Heráclio, the farmer shot the cangaceiros with his own revolver and hit two before being killed. Despite the bloodshed, the cangaceiros' raid was a success. This farm, formerly a land of exploitation, will be plowed by Heráclio's own former employees. Plus, we are now sure of the loyalty of Lampião and his men to our agenda. Now that we have shown the coronéis our force and will to defend our ideals, our land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;;;;;While Lampião and his band were approaching the city of Limoeiro, they were attacked by a small patrol of the Força Pública. The ill-prepared policemen, however, were no match for the cangaceiros, who proceeded to take control of the local police station and remaining public buildings. Meanwhile, the main force of thirty men under Lampião himself advanced towards Chico Heráclio's ranch, and a quick gunfight with the jagunços followed. Two of the cangaceiros fell on the scene, but they managed to kill or capture all thirty of Heráclio's thugs. Another five of Lampião's men raided the main farmhouse, where they found the three hostages - two men and one woman. As they were approaching one of the rooms to apprehend Chico Heráclio, the farmer shot the cangaceiros with his own revolver and hit two before being killed. Despite the bloodshed, the cangaceiros' raid was a success. This farm, formerly a land of exploitation, will be plowed by Heráclio's own former employees. Plus, we are now sure of the loyalty of Lampião and his men to our agenda. Now that we have shown the coronéis our force and will to defend our ideals, our land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;x;
EVT_755036_DESC;Representatives of the Ministry of Agriculture met today in Recife with a delegation of state governors led by Pernambuco's Carlos de Lima Cavalcanti. The central government demands a greater cooperation of the conservative forces to our socialist reforms - something that the reactionaries find an insult. The governors, on the other hand, want less pressure from Rio and the option to a less severe application of the land reforms. With this conservative initiative receiving more and more support from the northeastern elites, any concession may be seen as a threat to our progressive policies and will be regarded by other sectors of society as a sign of weakness by our government.;;;;;;;Representatives of the Ministry of Agriculture met today in Recife with a delegation of state governors led by Pernambuco's Carlos de Lima Cavalcanti. The central government demands a greater cooperation of the conservative forces to our socialist reforms - something that the reactionaries find an insult. The governors, on the other hand, want less pressure from Rio and the option to a less severe application of the land reforms. With this conservative initiative receiving more and more support from the northeastern elites, any concession may be seen as a threat to our progressive policies and will be regarded by other sectors of society as a sign of weakness by our government.;;;x;
EVT_755037_DESC;The conference between the Federal and State governments held for the past days in Recife has yield results. The representatives of the Ministry of Agriculture have agreeded on a more relaxed version of the Land Reform Programmes for the northeastern states, something that will allow the coronéis to retain a lot of their political power. In return, the conservative forces who rule these states will remain silent on our future measures, such as the industrial reforms and social programmes.;;;;;;;The conference between the Federal and State governments held for the past days in Recife has yield results. The representatives of the Ministry of Agriculture have agreeded on a more relaxed version of the Land Reform Programmes for the northeastern states, something that will allow the coronéis to retain a lot of their political power. In return, the conservative forces who rule these states will remain silent on our future measures, such as the industrial reforms and social programmes.;;;x;
EVT_755038_DESC;It's been almost an year since the beginning of the Berlin Crisis but, despite our best efforts, the effects of the horrible decisions of the previous government are still being felt by the Brazilian public. Unemployment is still rising, companies are going bankrupt every day and capital is fleeing our country. This is the right time to introduce socialist measures to the economy - just like we have done to agriculture. The people are awaiting our decision.;;;;;;;It's been almost an year since the beginning of the Berlin Crisis but, despite our best efforts, the effects of the horrible decisions of the previous government are still being felt by the Brazilian public. Unemployment is still rising, companies are going bankrupt every day and capital is fleeing our country. This is the right time to introduce socialist measures to the economy - just like we have done to agriculture. The people are awaiting our decision.;;;x;
EVT_755039_DESC;Some local and foreign investors have been looking towards our public companies. Most Brazilian industries are owned by the private initiative, but the federal and state governments do control some key areas, such as the national banks, the harbours, and some electricity and water distribution companies. Some economists say that these enterprises are somewhat of a money drain to the state, big and unnefective companies diverting capital that would see better use in other areas. So, why don't we share these troubles with the private initiative? We could promote the establishment of public-private partnerships and make some of our companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework. Orthodox Marxist economists, however, defend that we should keep these companies entirelly with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil.;;;;;;;Some local and foreign investors have been looking towards our public companies. Most Brazilian industries are owned by the private initiative, but the federal and state governments do control some key areas, such as the national banks, the harbours, and some electricity and water distribution companies. Some economists say that these enterprises are somewhat of a money drain to the state, big and unnefective companies diverting capital that would see better use in other areas. So, why don't we share these troubles with the private initiative? We could promote the establishment of public-private partnerships and make some of our companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework. Orthodox Marxist economists, however, defend that we should keep these companies entirelly with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil.;;;x;
EVT_755040_DESC;With a great deal of private companies going bankrupt, unemployment is rising in Brazil. We should be assuming control of these enterprises before their bad handling harm our economy even more! An alternative would be promoting the establishment of public-private partnerships and making some of these companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework.;;;;;;;With a great deal of private companies going bankrupt, unemployment is rising in Brazil. We should be assuming control of these enterprises before their bad handling harm our economy even more! An alternative would be promoting the establishment of public-private partnerships and making some of these companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework.;;;x;
EVT_755041_DESC;Some members of our coalition are debating who is the best man to head the Ministry of Industry and Armaments during these present economical reforms. The PSR has put forward their own Manuel Cendón, who defends that these new revenues must be invested into military supplies. Elias Iltchenco, of the BOC, suggests that this coming capital has to be transformed into more industrial capacity and the researching of new manufacturing methods. The CBT's Hermogênio da Silva Fernandes, however, defends that we should increase our investiments into military research.;;;;;;;Some members of our coalition are debating who is the best man to head the Ministry of Industry and Armaments during these present economical reforms. The PSR has put forward their own Manuel Cendón, who defends that these new revenues must be invested into military supplies. Elias Iltchenco, of the BOC, suggests that this coming capital has to be transformed into more industrial capacity and the researching of new manufacturing methods. The CBT's Hermogênio da Silva Fernandes, however, defends that we should increase our investiments into military research.;;;x;
EVT_755042_DESC;It's already been some time since we have started implementing our new economic policies, but they have yet yield little result. Unemployment rates still haven't dropped, while the increase in industrial output has been minimal. We are even starting to lose support amongst our own powerbase! The CBT syndicate has organized a four-hour-long strike in Rio de Janeiro demanding a review of these policies. Minervino de Oliveira, a leading figure of the CBT, proposes the transformation of more companies into cooperatives. According to him, if we give up some control of our companies and divert these responsabilities to the factory managers and to the workers themselves, they will come up with smartest decisions - better than handling every single local problem to a bureaucrat far away in Rio! Some parts of our cabinet, including our Minister of Industry, believe instead in increasing state control over these companies.;;;;;;;It's already been some time since we have started implementing our new economic policies, but they have yet yield little result. Unemployment rates still haven't dropped, while the increase in industrial output has been minimal. We are even starting to lose support amongst our own powerbase! The CBT syndicate has organized a four-hour-long strike in Rio de Janeiro demanding a review of these policies. Minervino de Oliveira, a leading figure of the CBT, proposes the transformation of more companies into cooperatives. According to him, if we give up some control of our companies and divert these responsabilities to the factory managers and to the workers themselves, they will come up with smartest decisions - better than handling every single local problem to a bureaucrat far away in Rio! Some parts of our cabinet, including our Minister of Industry, believe instead in increasing state control over these companies.;;;x;
EVT_755043_DESC;A group of southeastern industrialists led by Cicillo Matarazzo has organized a token resistance against our industrial reforms. Much like the norhteastern coronéis in the past attempted to block the entrance of our federal employees to their farms, representatives of the Ministry of Industry are being prohibited from entering factories in São Paulo and Rio de Janeiro by private security personel. Matarazzo is attempting to force us to the table for terms more favorable for him and his friends.;;;;;;;A group of southeastern industrialists led by Cicillo Matarazzo has organized a token resistance against our industrial reforms. Much like the norhteastern coronéis in the past attempted to block the entrance of our federal employees to their farms, representatives of the Ministry of Industry are being prohibited from entering factories in São Paulo and Rio de Janeiro by private security personel. Matarazzo is attempting to force us to the table for terms more favorable for him and his friends.;;;x;
EVT_755044_DESC;Our government has decided on holding a conference with Cicillo Matarazzo and other industrialist businessmen. It is hoped that we will be able to finally reach an agreement and continue our industrial reforms unimpeded. Matarazzo hopes to convince us to slow down the pace of these reforms, however - this will be seen as a sign of weakness of our part, and may lead to these industrialists making more unacceptable demands in the future.;;;;;;;Our government has decided on holding a conference with Cicillo Matarazzo and other industrialist businessmen. It is hoped that we will be able to finally reach an agreement and continue our industrial reforms unimpeded. Matarazzo hopes to convince us to slow down the pace of these reforms, however - this will be seen as a sign of weakness of our part, and may lead to these industrialists making more unacceptable demands in the future.;;;x;
EVT_755045_DESC;Our loyal proletarians have reported an outrageous finding! A number of foreign-owned factories in São Paulo have been dismantled over the past nights. Heavy industrial equipment owned mainly by the conglomerates of Cicillo Matarazzo and Percival Farquhar is currently being dispatched by truck and train towards the port of Santos and from there will follow by ship to Matarazzo's homeland, the present-day Italian Federation. Our security services are positioned on the harbor and expect an order from the federal government. Seizing this material and returning it to São Paulo is the most obvious choice, but it may lead to a heavy diplomatic incident with Italy.;;;;;;;Our loyal proletarians have reported an outrageous finding! A number of foreign-owned factories in São Paulo have been dismantled over the past nights. Heavy industrial equipment owned mainly by the conglomerates of Cicillo Matarazzo and Percival Farquhar is currently being dispatched by truck and train towards the port of Santos and from there will follow by ship to Matarazzo's homeland, the present-day Italian Federation. Our security services are positioned on the harbor and expect an order from the federal government. Seizing this material and returning it to São Paulo is the most obvious choice, but it may lead to a heavy diplomatic incident with Italy.;;;x;
EVT_755047_DESC;One of our congressmen, famous for his anti-clericalism, has proposed that we should start taxing church property. This would give us a new source of revenue. After all, why should a tyranical and reactionary institution like the Catholic Church have any special concessions from our socialist government? However, Dom Duarte Leopoldo e Silva, the arcbishop of São Paulo, has already announced this initiative would draw a huge opposition from both the Church and the Brazilian Catholics.;;;;;;;One of our congressmen, famous for his anti-clericalism, has proposed that we should start taxing church property. This would give us a new source of revenue. After all, why should a tyranical and reactionary institution like the Catholic Church have any special concessions from our socialist government? However, Dom Duarte Leopoldo e Silva, the arcbishop of São Paulo, has already announced this initiative would draw a huge opposition from both the Church and the Brazilian Catholics.;;;x;
EVT_755048_DESC;The coffee planters of São Paulo have approached us. Due to the Berlin crisis, coffee prices are falling day by day on the international markets, and farms in the other southern states are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't do something, the agricultural crisis will get worse and will soon affect other sectors of the economy. But there's no doubt the farmers' wishes will be granted - they are Júlio Prestes' powerbase, after all!;;;;;;;The coffee planters of São Paulo have approached us. Due to the Berlin crisis, coffee prices are falling day by day on the international markets, and farms in the other southern states are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't do something, the agricultural crisis will get worse and will soon affect other sectors of the economy. But there's no doubt the farmers' wishes will be granted - they are Júlio Prestes' powerbase, after all!;;;x;
EVT_755051_DESC;Some local and foreign investors have been looking towards our public companies. Most of the Brazilian industries are owned by the private initiative, but the federal and state governments do control some key companies, such as the national banks, the harbours, and some electricity and water distribution companies. A few experts say that these enterprises are a huge money drain to the state, diverting capital that would see better use in other areas, so we should privatize them. This, however, would increase costs for the final consumer, making life even harder for the people. Other economists, however, defend that we should keep these companies with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil. A third option would be holding the key companies (the banks, for instance) and promoting the establishment of public-private partnerships and making some of our companies into mixed-capital ventures.;;;;;;;Some local and foreign investors have been looking towards our public companies. Most of the Brazilian industries are owned by the private initiative, but the federal and state governments do control some key companies, such as the national banks, the harbours, and some electricity and water distribution companies. A few experts say that these enterprises are a huge money drain to the state, diverting capital that would see better use in other areas, so we should privatize them. This, however, would increase costs for the final consumer, making life even harder for the people. Other economists, however, defend that we should keep these companies with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil. A third option would be holding the key companies (the banks, for instance) and promoting the establishment of public-private partnerships and making some of our companies into mixed-capital ventures.;;;x;
EVT_755056_DESC;A militant socialist group linked to the BOC syndicate has invaded a farm in the city of Maringá, Paraná. The group, led by anarchist Elias Iltchenco, demands the seizing of those lands and its division amongst themselves, 'landless and homeless workers and peasants, the only ones who actually depend on the land to live and labour'. Some say we could fold in to their demands and distribute them those lands as a gesture of goodwill, although giving in to the demands of socialist bandits would certainly drive our supporters mad. Most of our cabinet says we should simply send in the batons and disperse them out of the farm. A too great display of violence, however, would surelly antagonize some sectors of society.;;;;;;;A militant socialist group linked to the BOC syndicate has invaded a farm in the city of Maringá, Paraná. The group, led by anarchist Elias Iltchenco, demands the seizing of those lands and its division amongst themselves, 'landless and homeless workers and peasants, the only ones who actually depend on the land to live and labour'. Some say we could fold in to their demands and distribute them those lands as a gesture of goodwill, although giving in to the demands of socialist bandits would certainly drive our supporters mad. Most of our cabinet says we should simply send in the batons and disperse them out of the farm. A too great display of violence, however, would surelly antagonize some sectors of society.;;;x;
EVT_755058_DESC;A small socialist meeting on a factory in the outskirts of Rio de Janeiro turned to an unexpected direction as the place was invaded by a band of Greenshirts, the paramilitary arm of the Brazilian Integralist Action. The Integralists attacked the syndicalist group with clubs, leaving two dead. Hours later, however, the group was met by syndicalist militiamen, and a major streetfight ensued. These brawls soon spread to downtown, while the Força Pública only managed to control the situation during the night. The cabinet has called for an emergency meeting of the security services to decide on an action.;;;;;;;A small socialist meeting on a factory in the outskirts of Rio de Janeiro turned to an unexpected direction as the place was invaded by a band of Greenshirts, the paramilitary arm of the Brazilian Integralist Action. The Integralists attacked the syndicalist group with clubs, leaving two dead. Hours later, however, the group was met by syndicalist militiamen, and a major streetfight ensued. These brawls soon spread to downtown, while the Força Pública only managed to control the situation during the night. The cabinet has called for an emergency meeting of the security services to decide on an action.;;;x;
EVT_755063_DESC;Time is coming to implement the first of the populist promises we made to the people. The Brazilian countryside is dominated by large farms, the latifúndios, owned by powerfull families and employing an enormous workforce. They are probably the most important element of our economy, harvesting the coffee and sugarcane so necessary for our exports. These latifúndios, however, also hold many unused plots, which could very well be occupied by landless farmers. One of our congressmen has put forward a proposal for a land reform programme which would distribute this empty land among poorer peasants. Not only this would increase our agricultural output, but since we would be adressing a key issue for the peasants, their support for the more radical syndicalist movements is likely to decrease. Some conservative forces, however, may see this as a sign of our weakness against these same radical ideologies.;;;;;;;Time is coming to implement the first of the populist promises we made to the people. The Brazilian countryside is dominated by large farms, the latifúndios, owned by powerfull families and employing an enormous workforce. They are probably the most important element of our economy, harvesting the coffee and sugarcane so necessary for our exports. These latifúndios, however, also hold many unused plots, which could very well be occupied by landless farmers. One of our congressmen has put forward a proposal for a land reform programme which would distribute this empty land among poorer peasants. Not only this would increase our agricultural output, but since we would be adressing a key issue for the peasants, their support for the more radical syndicalist movements is likely to decrease. Some conservative forces, however, may see this as a sign of our weakness against these same radical ideologies.;;;x;
