##;ENG;FRA;ITA;SPA;GER;POL;;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(Embarked);;;x
PROV1541;Oha;Oha;Oha;Oha;Oha;Oha;;Оха;;;X
PROV1542;Tojohara;Tojohara;Tojohara;Tojohara;Tojohara;Tojohara;;Тоехара;;;X
PROV1543;Shana;Shana;Shana;Shana;Shana;Shana;;Сяна;;;X
PROV1544;Kushiro;Kushiro;Kushiro;Kushiro;Kushiro;Kushiro;;Кусиро;;;X
PROV1545;Sapporo;Sapporo;Sapporo;Sapporo;Sapporo;Sapporo;;Саппоро;;;X
PROV1546;Shizuoka;Shizuoka;Shizuoka;Shizuoka;Shizuoka;Shizuoka;;Сидзуока;;;X
PROV1547;Akita;Akita;Akita;Akita;Akita;Akita;;Акита;;;X
PROV1548;Nagano;Nagano;Nagano;Nagano;Nagano;Nagano;;Нагано;;;X
PROV1549;Sendai;Sendai;Sendai;Sendai;Sendai;Sendai;;Сендай;;;X
PROV1550;Yokohama;Yokohama;Yokohama;Yokohama;Yokohama;Yokohama;;Иокогама;;;X
PROV1551;Niigata;Niigata;Niigata;Niigata;Niigata;Niigata;;Ниигата;;;X
PROV1552;Tokyo;Tokyo;Tokyo;Tokyo;Tokyo;Tokyo;;Токио;;;X
PROV1553;Osaka;Osaka;Osaka;Osaka;Osaka;Osaka;;Осака;;;X
PROV1554;Hiroshima;Hiroshima;Hiroshima;Hiroshima;Hiroshima;Hiroshima;;Хиросима;;;X
PROV1555;Kobe;Kobe;Kobe;Kobe;Kobe;Kobe;;Кобе;;;X
PROV1556;Kanazawa;Kanazawa;Kanazawa;Kanazawa;Kanazawa;Kanazawa;;Канадзава;;;X
PROV1557;Nagoya;Nagoya;Nagoya;Nagoya;Nagoya;Nagoya;;Нагоя;;;X
PROV1558;Kyoto;Kyoto;Kyoto;Kyoto;Kyoto;Kyoto;;Киото;;;X
PROV1559;Matsuyama;Matsuyama;Matsuyama;Matsuyama;Matsuyama;Matsuyama;;Мацуяма;;;X
PROV1560;Nagasaki;Nagasaki;Nagasaki;Nagasaki;Nagasaki;Nagasaki;;Нагасаки;;;X
PROV1561;Kagoshima;Kagoshima;Kagoshima;Kagoshima;Kagoshima;Kagoshima;;Кагосима;;;X
PROV1562;Amami;Amami;Amami;Amami;Amami;Amami;;Амами;;;X
PROV1563;Southern Okinawa;Southern Okinawa;Southern Okinawa;Southern Okinawa;Southern Okinawa;Southern Okinawa;;Южная Окинава;;;X
PROV1564;Northern Okinawa;Northern Okinawa;Northern Okinawa;Northern Okinawa;Northern Okinawa;Northern Okinawa;;Северная Окинава;;;X
PROV1565;Manila;Manila;Manila;Manila;Manila;Manila;;Манила;;;X
PROV1566;Cabanatuan;Cabanatuan;Cabanatuan;Cabanatuan;Cabanatuan;Cabanatuan;;Кабанатуан;;;X
PROV1567;Baguio;Baguio;Baguio;Baguio;Baguio;Baguio;;Багио;;;X
PROV1568;Legazpi;Legazpi;Legazpi;Legazpi;Legazpi;Legazpi;;Легаспи;;;X
PROV1569;Olongapo;Olongapo;Olongapo;Olongapo;Olongapo;Olongapo;;Олонгапо;;;X
PROV1570;Tuguegarao;Tuguegarao;Tuguegarao;Tuguegarao;Tuguegarao;Tuguegarao;;Тугегарао;;;X
PROV1571;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;;Миндоро;;;X
PROV1572;Palawan;Palawan;Palawan;Palawan;Palawan;Palawan;;Палаван;;;X
PROV1573;Leyte;Leyte;Leyte;Leyte;Leyte;Leyte;;Лейте;;;X
PROV1574;Bacolod;Bacolod;Bacolod;Bacolod;Bacolod;Bacolod;;Себу;;;X
PROV1575;Samar;Samar;Samar;Samar;Samar;Samar;;Самар;;;X
PROV1576;Panay;Panay;Panay;Panay;Panay;Panay;;Панай;;;X
PROV1577;Jolo;Jolo;Jolo;Jolo;Jolo;Jolo;;Холо;;;X
PROV1578;Cagayan de Oro;Cagayan de Oro;Cagayan de Oro;Cagayan de Oro;Cagayan de Oro;Cagayan de Oro;;Кагаян-де-Оро;;;X
PROV1579;Dabaw;Dabaw;Dabaw;Dabaw;Dabaw;Dabaw;;Давад;;;X
PROV1580;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;;Замбоанга;;;X
PROV1581;Efate;Efate;Efate;Efate;Efate;Efate;;Эфате;;;X
PROV1582;Espiritu Santo;Espiritu Santo;Espiritu Santo;Espiritu Santo;Espiritu Santo;Espiritu Santo;;Эспириту-Санто;;;X
PROV1583;Malekula;Malekula;Malekula;Malekula;Malekula;Malekula;;Малекула;;;X
PROV1584;Tanna;Tanna;Tanna;Tanna;Tanna;Tanna;;Танна;;;X
PROV1585;Ouvea;Ouvea;Ouvea;Ouvea;Ouvea;Ouvea;;Увеа;;;X
PROV1586;Nouvelle-Caledonie;Nouvelle-Caledonie;Nouvelle-Caledonie;Nouvelle-Caledonie;Nouvelle-Caledonie;Nouvelle-Caledonie;;Новая Каледония;;;X
PROV1587;Bougainville;Bougainville;Bougainville;Bougainville;Bougainville;Bougainville;;Бугенвиль;;;X
PROV1588;Santa Isabel;Santa Isabel;Santa Isabel;Santa Isabel;Santa Isabel;Santa Isabel;;Санта-Исабель;;;X
PROV1589;New Georgia;New Georgia;New Georgia;New Georgia;New Georgia;New Georgia;;Нью-Джорджия;;;X
PROV1590;Guadalcanal Landingzone;Guadalcanal Landingzone;Guadalcanal Landingzone;Guadalcanal Landingzone;Guadalcanal Landingzone;Guadalcanal Landingzone;;Лунга;;;X
PROV1591;Malaita;Malaita;Malaita;Malaita;Malaita;Malaita;;Малаита;;;X
PROV1592;Nendo;Nendo;Nendo;Nendo;Nendo;Nendo;;Нендо;;;X
PROV1593;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;;Гуадалканал;;;X
PROV1594;Wamena;Wamena;Wamena;Wamena;Wamena;Wamena;;Вамена;;;X
PROV1595;Ansoes;Ansoes;Ansoes;Ansoes;Ansoes;Ansoes;;Ансос;;;X
PROV1596;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;;Голландия;;;X
PROV1597;Merauke;Merauke;Merauke;Merauke;Merauke;Merauke;;Мерауке;;;X
PROV1598;Birab;Birab;Birab;Birab;Birab;Birab;;Бираб;;;X
PROV1599;Manoekwari;Manoekwari;Manoekwari;Manoekwari;Manoekwari;Manoekwari;;Маноквари;;;X
PROV1600;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;;Факфак;;;X
PROV1601;Wakia;Wakia;Wakia;Wakia;Wakia;Wakia;;Вакиа;;;X
PROV1602;Lae;Lae;Lae;Lae;Lae;Lae;;Лаэ;;;X
PROV1603;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;;Маунт-Хаген;;;X
PROV1604;Popondetta;Popondetta;Popondetta;Popondetta;Popondetta;Popondetta;;Попондетта;;;X
PROV1605;Wewak;Wewak;Wewak;Wewak;Wewak;Wewak;;Вевак;;;X
PROV1606;Daru;Daru;Daru;Daru;Daru;Daru;;Дару;;;X
PROV1607;Port Mosby;Port Mosby;Port Mosby;Port Mosby;Port Mosby;Port Mosby;;Порт-Морсби;;;X
PROV1608;Kiunga;Kiunga;Kiunga;Kiunga;Kiunga;Kiunga;;Киунга;;;X
PROV1609;Kerema;Kerema;Kerema;Kerema;Kerema;Kerema;;Керема;;;X
PROV1610;Mendi;Mendi;Mendi;Mendi;Mendi;Mendi;;Менди;;;X
PROV1611;Male;Male;Male;Male;Male;Male;;Мале;;;X
PROV1612;Karavatti;Karavatti;Karavatti;Karavatti;Karavatti;Karavatti;;Караватти;;;X
PROV1613;West Island;West Island;West Island;West Island;West Island;West Island;;Вест-Айленд;;;X
PROV1614;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;;остров Рождества;;;X
PROV1615;Flores;Flores;Flores;Flores;Flores;Flores;;Флорес;;;X
PROV1616;Koepang;Koepang;Koepang;Koepang;Koepang;Koepang;;Купанг;;;X
PROV1617;Dili;Dili;Dili;Dili;Dili;Dili;;Дили;;;X
PROV1618;Aru;Aru;Aru;Aru;Aru;Aru;;Ару;;;X
PROV1619;Yamdena;Yamdena;Yamdena;Yamdena;Yamdena;Yamdena;;Ямдена;;;X
PROV1620;Halmahera;Halmahera;Halmahera;Halmahera;Halmahera;Halmahera;;Хальмахера;;;X
PROV1621;Buru;Buru;Buru;Buru;Buru;Buru;;Буру;;;X
PROV1622;Ceram;Ceram;Ceram;Ceram;Ceram;Ceram;;Серам;;;X
PROV1623;Longmerah;Longmerah;Longmerah;Longmerah;Longmerah;Longmerah;;Лонгмерах;;;X
PROV1624;Kuching;Kuching;Kuching;Kuching;Kuching;Kuching;;Кучинг;;;X
PROV1625;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;;Бандар-Сери-Бегаван;;;X
PROV1626;Jesselton;Jesselton;Jesselton;Jesselton;Jesselton;Jesselton;;Джесселтон;;;X
PROV1627;Tarakan;Tarakan;Tarakan;Tarakan;Tarakan;Tarakan;;Таракан;;;X
PROV1628;Bakon;Bakon;Bakon;Bakon;Bakon;Bakon;;Бакон;;;X
PROV1629;Singkawang;Singkawang;Singkawang;Singkawang;Singkawang;Singkawang;;Сингкаванг;;;X
PROV1630;Sampit;Sampit;Sampit;Sampit;Sampit;Sampit;;Сампит;;;X
PROV1631;Poentianak;Poentianak;Poentianak;Poentianak;Poentianak;Poentianak;;Понтианак;;;X
PROV1632;Balikpapan;Balikpapan;Balikpapan;Balikpapan;Balikpapan;Balikpapan;;Баликпапан;;;X
PROV1633;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;;Банджармасин;;;X
PROV1634;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;;Паканбару;;;X
PROV1635;Djambi;Djambi;Djambi;Djambi;Djambi;Djambi;;Джамби;;;X
PROV1636;Palembang;Palembang;Palembang;Palembang;Palembang;Palembang;;Палембанг;;;X
PROV1637;Padang;Padang;Padang;Padang;Padang;Padang;;Паданг;;;X
PROV1638;Bengkulu;Bengkulu;Bengkulu;Bengkulu;Bengkulu;Bengkulu;;Бенкулу;;;X
PROV1639;Bangka;Bangka;Bangka;Bangka;Bangka;Bangka;;Банка;;;X
PROV1640;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;;Кутараджа;;;X
PROV1641;Oosthaven;Oosthaven;Oosthaven;Oosthaven;Oosthaven;Oosthaven;;Остхавен;;;X
PROV1642;Medan;Medan;Medan;Medan;Medan;Medan;;Медан;;;X
PROV1643;Bali;Bali;Bali;Bali;Bali;Bali;;Бали;;;X
PROV1644;Sumbawa;Sumbawa;Sumbawa;Sumbawa;Sumbawa;Sumbawa;;Сумбава;;;X
PROV1645;Waingapoe;Waingapoe;Waingapoe;Waingapoe;Waingapoe;Waingapoe;;Ваингапу;;;X
PROV1646;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;;Чилачап;;;X
PROV1647;Batavia;Batavia;Batavia;Batavia;Batavia;Batavia;;Батавия;;;X
PROV1648;Tjilegon;Tjilegon;Tjilegon;Tjilegon;Tjilegon;Tjilegon;;Чилегон;;;X
PROV1649;Tjirebon;Tjirebon;Tjirebon;Tjirebon;Tjirebon;Tjirebon;;Чиребон;;;X
PROV1650;Semarang;Semarang;Semarang;Semarang;Semarang;Semarang;;Семаранг;;;X
PROV1651;Bandoeng;Bandoeng;Bandoeng;Bandoeng;Bandoeng;Bandoeng;;Бандунг;;;X
PROV1652;Rembang;Rembang;Rembang;Rembang;Rembang;Rembang;;Рембанг;;;X
PROV1653;Soerabaja;Soerabaja;Soerabaja;Soerabaja;Soerabaja;Soerabaja;;Сурабая;;;X
PROV1654;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;;Джокьякарта;;;X
PROV1655;Malang;Malang;Malang;Malang;Malang;Malang;;Маланг;;;X
PROV1656;Madura;Madura;Madura;Madura;Madura;Madura;;Мадура;;;X
PROV1657;Makassar;Makassar;Makassar;Makassar;Makassar;Makassar;;Макассар;;;X
PROV1658;Kendari;Kendari;Kendari;Kendari;Kendari;Kendari;;Кендари;;;X
PROV1659;Manado;Manado;Manado;Manado;Manado;Manado;;Манадо;;;X
PROV1660;Paloe;Paloe;Paloe;Paloe;Paloe;Paloe;;Палу;;;X
PROV1661;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;;Иводзима;;;X
PROV1662;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;;Титидзима;;;X
PROV1663;Motoyama;Motoyama;Motoyama;Motoyama;Motoyama;Motoyama;;Мотояма;;;X
PROV1664;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;;гора Сурибати;;;X
PROV1665;Ponape;Ponape;Ponape;Ponape;Ponape;Ponape;;Понапе;;;X
PROV1666;Kusaie;Kusaie;Kusaie;Kusaie;Kusaie;Kusaie;;Кусаие;;;X
PROV1667;Truk;Truk;Truk;Truk;Truk;Truk;;Трук;;;X
PROV1668;Wolelai;Wolelai;Wolelai;Wolelai;Wolelai;Wolelai;;Волеаи;;;X
PROV1669;Yap;Yap;Yap;Yap;Yap;Yap;;Яп;;;X
PROV1670;Palau;Palau;Palau;Palau;Palau;Palau;;Пелелиу;;;X
PROV1671;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;;Клоулклабед;;;X
PROV1672;Minami Torima;Minami Torima;Minami Torima;Minami Torima;Minami Torima;Minami Torima;;Минамитори;;;X
PROV1673;Wake;Wake;Wake;Wake;Wake;Wake;;Уэйк;;;X
PROV1674;Bikini;Bikini;Bikini;Bikini;Bikini;Bikini;;Бикини;;;X
PROV1675;Eniwetok;Eniwetok;Eniwetok;Eniwetok;Eniwetok;Eniwetok;;Эниветок;;;X
PROV1676;Kwajalein;Kwajalein;Kwajalein;Kwajalein;Kwajalein;Kwajalein;;Кваджалейн;;;X
PROV1677;Majuro;Majuro;Majuro;Majuro;Majuro;Majuro;;Маджуро;;;X
PROV1678;Makin;Makin;Makin;Makin;Makin;Makin;;Макин;;;X
PROV1679;Abemama;Abemama;Abemama;Abemama;Abemama;Abemama;;Абемама;;;X
PROV1680;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;;Тарава;;;X
PROV1681;Wotje;Wotje;Wotje;Wotje;Wotje;Wotje;;Вотье;;;X
PROV1682;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;;Науру;;;X
PROV1683;Guam;Guam;Guam;Guam;Guam;Guam;;Гуам;;;X
PROV1684;Rota;Rota;Rota;Rota;Rota;Rota;;Рота;;;X
PROV1685;Saipan;Saipan;Saipan;Saipan;Saipan;Saipan;;Сайпан;;;X
PROV1686;Pagan;Pagan;Pagan;Pagan;Pagan;Pagan;;Паган;;;X
PROV1687;Funafuti;Funafuti;Funafuti;Funafuti;Funafuti;Funafuti;;Фунафути;;;X
PROV1688;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;;Карнарвон;;;X
PROV1689;Northam;Northam;Northam;Northam;Northam;Northam;;Нортам;;;X
PROV1690;Perth;Perth;Perth;Perth;Perth;Perth;;Перт;;;X
PROV1691;Albany;Albany;Albany;Albany;Albany;Albany;;Олбани;;;X
PROV1692;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;;Джералдтон;;;X
PROV1693;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;;Калгурли;;;X
PROV1694;Collie;Collie;Collie;Collie;Collie;Collie;;Колли;;;X
PROV1695;Port Hedland;Port Hedland;Port Hedland;Port Hedland;Port Hedland;Port Hedland;;Порт-Хедленд;;;X
PROV1696;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;;Кэтрин;;;X
PROV1697;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;;Дарвин;;;X
PROV1698;Broome;Broome;Broome;Broome;Broome;Broome;;Брум;;;X
PROV1699;Townsville;Townsville;Townsville;Townsville;Townsville;Townsville;;Таунсвилл;;;X
PROV1700;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;;Рокгемптон;;;X
PROV1701;Cairns;Cairns;Cairns;Cairns;Cairns;Cairns;;Кэрнс;;;X
PROV1702;Toowoomba;Toowoomba;Toowoomba;Toowoomba;Toowoomba;Toowoomba;;Тувумба;;;X
PROV1703;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;;Ньюкасл;;;X
PROV1704;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;;Брисбен;;;X
PROV1705;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;;Сидней;;;X
PROV1706;Wollongong;Wollongong;Wollongong;Wollongong;Wollongong;Wollongong;;Вуллонгонг;;;X
PROV1707;Canberra;Canberra;Canberra;Canberra;Canberra;Canberra;;Канберра;;;X
PROV1708;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;;Мельбурн;;;X
PROV1709;Geelong;Geelong;Geelong;Geelong;Geelong;Geelong;;Джелонг;;;X
PROV1710;Hobart;Hobart;Hobart;Hobart;Hobart;Hobart;;Хобарт;;;X
PROV1711;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;;Порт-Линкольн;;;X
PROV1712;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;;Аделаида;;;X
PROV1713;Robe;Robe;Robe;Robe;Robe;Robe;;Роб;;;X
PROV1714;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;;Маунт-Айза;;;X
PROV1715;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;;Порт-Огаста;;;X
PROV1716;Alice Springs;Alice Springs;Alice Springs;Alice Springs;Alice Springs;Alice Springs;;Алис-Спрингс;;;X
PROV1717;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;;Уогга-Уогга;;;X
PROV1718;Napier;Napier;Napier;Napier;Napier;Napier;;Нейпир;;;X
PROV1719;Hamilton;Hamilton;Hamilton;Hamilton;Hamilton;Hamilton;;Гамильтон;;;X
PROV1720;Auckland;Auckland;Auckland;Auckland;Auckland;Auckland;;Окленд;;;X
PROV1721;Wellington;Wellington;Wellington;Wellington;Wellington;Wellington;;Веллингтон;;;X
PROV1722;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;;Крайстчерч;;;X
PROV1723;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;;Данидин;;;X
PROV1724;Manus;Manus;Manus;Manus;Manus;Manus;;Манус;;;X
PROV1725;Kavieng;Kavieng;Kavieng;Kavieng;Kavieng;Kavieng;;Кавиенг;;;X
PROV1726;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;;Рабаул;;;X
PROV1727;Kimbe;Kimbe;Kimbe;Kimbe;Kimbe;Kimbe;;Кимбе;;;X
PROV1728;Suva;Suva;Suva;Suva;Suva;Suva;;Сува;;;X
PROV1729;Labasa;Labasa;Labasa;Labasa;Labasa;Labasa;;Лабаса;;;X
PROV1730;Mata'utu;Mata'utu;Mata'utu;Mata'utu;Mata'utu;Mata'utu;;Матауту;;;X
PROV1731;Apia;Apia;Apia;Apia;Apia;Apia;;Апиа;;;X
PROV1732;Nukunonu;Nukunonu;Nukunonu;Nukunonu;Nukunonu;Nukunonu;;Нукунону;;;X
PROV1733;Pago Pago;Pago Pago;Pago Pago;Pago Pago;Pago Pago;Pago Pago;;Паго-Паго;;;X
PROV1734;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;;Перл-Харбор;;;X
PROV1735;Kauai;Kauai;Kauai;Kauai;Kauai;Kauai;;Кауаи;;;X
PROV1736;Hawaii;Hawaii;Hawaii;Hawaii;Hawaii;Hawaii;;Гавайи;;;X
PROV1737;Maui;Maui;Maui;Maui;Maui;Maui;;Мауи;;;X
PROV1738;Johnston;Johnston;Johnston;Johnston;Johnston;Johnston;;Джонстон;;;X
PROV1739;Midway;Midway;Midway;Midway;Midway;Midway;;Мидуэй;;;X
PROV1740;Rikitea;Rikitea;Rikitea;Rikitea;Rikitea;Rikitea;;Рикитеа;;;X
PROV1741;Roto;Roto;Roto;Roto;Roto;Roto;;Рото;;;X
PROV1742;Avarua;Avarua;Avarua;Avarua;Avarua;Avarua;;Аваруа;;;X
PROV1743;Papeete;Papeete;Papeete;Papeete;Papeete;Papeete;;Папеэте;;;X
PROV1744;Taiohae;Taiohae;Taiohae;Taiohae;Taiohae;Taiohae;;Тайохае;;;X
PROV1745;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;;Джарвис;;;X
PROV1746;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;;остров Рождества;;;X
PROV1747;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;;Пальмира;;;X
PROV1748;Alofi;Alofi;Alofi;Alofi;Alofi;Alofi;;Алофи;;;X
PROV1749;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;;Нукуалофа;;;X
PROV1750;Kanton;Kanton;Kanton;Kanton;Kanton;Kanton;;Кантон;;;X
PROV1751;Mayerton;Mayerton;Mayerton;Mayerton;Mayerton;Mayerton;;Бейкер;;;X
PROV1752;St-Martin;St-Martin;St-Martin;St-Martin;St-Martin;St-Martin;;Сен-Мартен;;;X
PROV1753;Dominica;Dominica;Dominica;Dominica;Dominica;Dominica;;Доминика;;;X
PROV1754;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;;Монсеррат;;;X
PROV1755;St Vincent;St Vincent;St Vincent;St Vincent;St Vincent;St Vincent;;Сент-Винсент;;;X
PROV1756;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;;Сан-Хосе-дель-Гуавьяре;;;X
PROV1757;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;;Ангилья;;;X
PROV1758;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;;Тринидад;;;X
PROV1759;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;;Антигуа и Барбуда;;;X
PROV1760;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;;Сент-Киттс;;;X
PROV1761;Saba Island;Saba Island;Saba Island;Saba Island;Saba Island;Saba Island;;Саба;;;X
PROV1762;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;;Кюрасао;;;X
PROV1763;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;;Сент-Джорджес;;;X
PROV1764;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;;Барбадос;;;X
PROV1765;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;;Пуэрто-Рико;;;X
PROV1766;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;;Британские Виргинские о-ва;;;X
PROV1767;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;;Гваделупа;;;X
PROV1768;Martinique;Martinique;Martinique;Martinique;Martinique;Martinique;;Мартиника;;;X
PROV1769;Tobago;Tobago;Tobago;Tobago;Tobago;Tobago;;Тобаго;;;X
PROV1770;St Lucia;St Lucia;St Lucia;St Lucia;St Lucia;St Lucia;;Сент-Люсия;;;X
PROV1771;The Bahamas;The Bahamas;The Bahamas;The Bahamas;The Bahamas;The Bahamas;;Багамы;;;X
PROV1772;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;;Теркс и Кайкос;;;X
PROV1773;The Bermudas;The Bermudas;The Bermudas;The Bermudas;The Bermudas;The Bermudas;;Бермуды;;;X
PROV1774;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;;Каймановы острова;;;X
PROV1775;Camaguey;Camaguey;Camaguey;Camaguey;Camaguey;Camaguey;;Камагуэй;;;X
PROV1776;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;;Гавана;;;X
PROV1777;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;;Сантьяго-де-Куба;;;X
PROV1778;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;;Гуантанамо (морск. база);;;X
PROV1779;Santa Clara;Santa Clara;Santa Clara;Santa Clara;Santa Clara;Santa Clara;;Санта-Клара;;;X
PROV1780;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;;Сьюдад-Трухильо;;;X
PROV1781;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;;Порт-о-Пренс;;;X
PROV1782;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;;Ямайка;;;X
PROV1783;Greenland;Greenland;Greenland;Greenland;Greenland;Greenland;;Гренландия;;;X
PROV1784;Bangor;Bangor;Bangor;Bangor;Bangor;Bangor;;Бангор;;;X
PROV1785;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;;Льюистон;;;X
PROV1786;Presque Isle;Presque Isle;Presque Isle;Presque Isle;Presque Isle;Presque Isle;;Преск-Айл;;;X
PROV1787;Concord;Concord;Concord;Concord;Concord;Concord;;Конкорд;;;X
PROV1788;Hartford;Hartford;Hartford;Hartford;Hartford;Hartford;;Хартфорд;;;X
PROV1789;Boston;Boston;Boston;Boston;Boston;Boston;;Бостон;;;X
PROV1790;Burlington;Burlington;Burlington;Burlington;Burlington;Burlington;;Берлингтон;;;X
PROV1791;Buffalo;Buffalo;Buffalo;Buffalo;Buffalo;Buffalo;;Буффало;;;X
PROV1792;Syracuse;Syracuse;Syracuse;Syracuse;Syracuse;Syracuse;;Сиракьюс;;;X
PROV1793;Albany;Albany;Albany;Albany;Albany;Albany;;Олбани;;;X
PROV1794;Watertown;Watertown;Watertown;Watertown;Watertown;Watertown;;Уотертаун;;;X
PROV1795;New York;New York;New York;New York;New York;New York;;Нью-Йорк;;;X
PROV1796;Providence;Providence;Providence;Providence;Providence;Providence;;Провиденс;;;
PROV1797;Newark;Newark;Newark;Newark;Newark;Newark;;Ньюарк;;;X
PROV1798;Warren;Warren;Warren;Warren;Warren;Warren;;Уоррен;;;X
PROV1799;Newburgh;Newburgh;Newburgh;Newburgh;Newburgh;Newburgh;;Ньюбург;;;X
PROV1800;Binghampton ;Binghampton ;Binghampton ;Binghampton ;Binghampton ;Binghampton ;;Бингемтон;;;X
