##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
DPERSONALITY_SCHOOL_OF_PSYCHOLOGY;This Chief of Staff teaches that morale and small-unit leadership are the essence of modern warfare.;Ce chef d’йtat-major estime que l’йthique et la direction de petites unitйs militaires sont les fondements de l’art militaire moderne.;Questo Capo di Stato Maggiore и convinto che il morale e la conduzione di piccole unitа siano l'essenza della moderna condotta di guerra.;Este Jefe del Estado Mayor pertenece a una tradiciуn educativa conocida como 'la escuela de la psicologнa' que enseсa y regula tбcticas y estrategias donde la moral y el liderazgo de pequeсas unidades son la esencia de la guerra moderna.;Dieser Stabschef gehцrt einer 'Schule der Psychologie' genannten Lehrrichtung an. Diese vermittelt das strategische und taktische Wissen ьber Moral und Fьhrung kleiner Einheiten, wichtigen Punkten der modernen Kriegsfьhrung.;Ten szef sztabu naleїy do szkoіy psychologii - tradycji nauczaj№cej, їe podstaw№ dobrej strategii i taktyki s№ maіe, dobrze dowodzone jednostki i wysokie morale їoіnierzy.;;Этот начальник генерального штаба придерживается традиций школы психологии, согласно которой боевой дух и подготовка офицерского состава являются сущностью современного военного искусства.;;;X,,,,,,,,,
DPERSONALITY_SCHOOL_OF_DEFENCE;This Chief of Staff teaches that Fortifications, Militia and Strategic Depth are the essence of modern warfare.;Ce chef d’йtat-major estime que la milice et la stratйgie de dйfense sont les fondements de l’art militaire moderne.;Questo Capo di Stato Maggiore и convinto che fortificazioni, miliziani e profonditа strategica siano l'essenza della moderna condotta di guerra.;Este Jefe del Estado Mayor pertenece a una tradiciуn educativa conocida como 'la escuela de defensa' que enseсa y regula tбcticas y estrategias donde la milicia y la profundidad estratйgica son la esencia de la guerra moderna.;Dieser Stabschef gehцrt einer 'Schule der Verteidigung' genannten Lehrrichtung an. Diese vermittelt das strategische und taktische Wissen ьber Milizen und strategische Tiefe, wichtigen Punkten der modernen Kriegsfьhrung.;Ten szef sztabu naleїy do szkoіy obrony - tradycji nauczaj№cej, їe podstaw№ dobrej strategii i taktyki s№ liczne bojуwki i odpowiednio duїa gікbokoњж obrony.;;Этот начальник генерального штаба придерживается традиций школы обороны, согласно которой стратегически эшелонированная оборона и призыв народного ополчения являются сущностью современного военного искусства.;;;X,,,,,,,,
DPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;This Chief of the Army directs the utilization of the ground forces by the doctrine of Elastic Defence. This means that deploying a thin defensive line with heavily armed infantry and deploying replacements and assault teams in the second lines are essential for wearing down the enemy and for winning the war.;Ce chef des armйes juge nйcessaire, pour anйantir les forces ennemies et gagner la guerre, de dйployer une ligne dйfensive йtroite composйe d’unitйs d’infanterie lourdement armйes et complйtйe par une seconde ligne de renforts et groupes d’assaut.;Questo Capo dell'Esercito gestisce l'utilizzo delle forze di terra secondo la dottrina della difesa elastica: schierare una linea difensiva sottile con una fanteria armata pesantemente, posizionando rimpiazzi e squadre d'assalto nelle file secondarie, и il sistema per logorare il nemico e vincere la guerra.;Este Jefe del Ejйrcito de Tierra basa el empleo de la infanterнa en la doctrina de la defensa elбstica. Esto significa que, para derrotar al enemigo y ganar la guerra, es esencial desplegar una delgada lнnea de defensa con infanterнa armada con armas pesadas y desplegar los refuerzos y los equipos de asalto en las segundas lнneas.;Dieser Armeechef leitet den Einsatz der Bodenstreitkrдfte anhand der Elastischen Verteidigungsdoktrin. Dies bedeutet, dass es zur Zermьrbung des Feindes und zum Kriegsgewinn erforderlich ist, eine dьnne Verteidigungslinie mit schwer bewaffneter Infanterie und Sturmangriffsteams in zweiter Linie aufzustellen.;Ten dowуdca prowadzi siіy l№dowe zgodnie z doktryn№ elastycznej obrony. Oznacza to, їe za najlepszy sposуb na wyczerpanie wroga i pokonanie go, uwaїa stworzenie w№skiej strefy obronnej, obsadzonej ciкїko uzbrojon№ piechot№, wspart№ licznymi posiіkami i grupami zaczepnymi w drugiej linii.;;Этот командующий сухопутными войсками руководит действиями армии в соответствии с доктриной гибкой обороны. Для истощения противника и победы в войне нужно строить тактическую оборону в две линии. Тонкую первую линию занимают насыщенные тяжелым оружием пехотные части, а во второй линии располагаются резервы и штурмовые группы для контратак.;;;X
DPERSONALITY_STATIC_DEFENCE_DOCTRINE;This Chief of the Army directs the utilization of the ground forces according to the doctrine of Static Defence. This means that deploying several defensive lines with fortified infantry and substantial artillery assets in the rear are essential for wearing down the enemy and for winning the war.;Ce chef de l’armйe commande l’utilisation des troupes terrestres selon la doctrine de la dйfense statique, ce qui revient а dйployer plusieurs lignes dйfensives d'infanterie retranchйe et une artillerie importante en arriиre-garde, dans le but d’йpuiser l’ennemi.;Questo Capo dell'Esercito gestisce l'utilizzo delle forze di terra secondo la dottrina della difesa statica: schierare diverse linee difensive con una fanteria fortificata, posizionando una solida artiglieria nelle retrovie, и il sistema per logorare il nemico e vincere la guerra.;Este Jefe del Ejйrcito de Tierra basa el empleo de las fuerzas de tierra en la doctrina de la defensa estбtica. Esto significa que desplegar varias lнneas defensivas con infanterнa fortificada y dotaciones sustanciales de artillerнa en la retaguardia es esencial para derrotar al enemigo y ganar la guerra.;Dieser Armeechef leitet den Einsatz der Bodenstreitkrдfte anhand der Doktrin der statischen Verteidigung. Dies bedeutet, dass es zur Zermьrbung des Feindes und zum Kriegsgewinn erforderlich ist, mehrere befestigte und mit Infanterie und Artilleriegeschьtzen besetzte Verteidigungslinien im Hintergrund aufzustellen.;Ten dowуdca prowadzi siіy l№dowe zgodnie z doktryn№ statycznej obrony. Oznacza to, їe za najlepszy sposуb na wyczerpanie wroga i pokonanie go, uwaїa stworzenie kilku kolejnych stref obronnych, obsadzonych okopan№ piechot№, wspart№ artyleri№.;;Этот командующий сухопутными войсками руководит действиями армии в соответствии с доктриной статичной обороны. Для истощения противника и победы в войне нужно строить глубоко эшелонированную тактическую оборону в несколько линий. Пехотные части оборудуют и занимают полевые укрепления и защищают их при поддержке значительных сил артиллерии.;;;X,,
DPERSONALITY_DECISIVE_BATTLE_DOCTRINE;This Chief of the Army directs the utilization of the ground forces according to the doctrine of Decisive Battle. This means that concentrating large amounts of superior attacking troops and forcing the enemy to commit inferior troops are essential for wearing down the enemy and for winning the war.;Ce chef de l’armйe estime qu’il est nйcessaire, pour anйantir les forces ennemies et gagner la guerre, de masser un grand nombre de troupes de qualitй pour forcer le camp adverse а dйployer des troupes de qualitй infйrieure.;Questo Capo dell'Esercito gestisce l'utilizzo delle forze di terra secondo la dottrina della battaglia decisiva: concentrare una gran quantitа di truppe offensive superiori e forzare il nemico a utilizzare truppe inferiori и il sistema per logorare il nemico e vincere la guerra.;Este Jefe del Ejйrcito de Tierra basa el empleo de las fuerzas de tierra en la doctrina de la batalla decisiva. Esto supone que concentrar grandes cantidades de tropas atacantes superiores y obligar al enemigo a comprometer tropas inferiores es esencial para derrotarlo y ganar la guerra.;Dieser Armeechef leitet den Einsatz der Bodenstreitkrдfte anhand der Entscheidungsschlacht-Doktrin. Dies bedeutet, dass es zur Zermьrbung des Feindes und zum Kriegsgewinn erforderlich ist, eine groЯe Zahl ьberlegener Angriffstruppen zu konzentrieren, die grцЯer als die des Feindes sind. ;Ten dowуdca prowadzi siіy l№dowe zgodnie z doktryn№ rozstrzygaj№cej bitwy. Oznacza to, їe za najlepszy sposуb na wyczerpanie wroga i pokonanie go, uwaїa skoncentrowanie przewaїaj№cych siі i zmuszenie sіabszego przeciwnika do otwartej walki.;;Этот командующий сухопутными войсками руководит действиями армии в соответствии с доктриной решающего сражения. Для истощения противника и победы в войне нужно сосредоточить в одном месте как можно больше войск и заставить врага обороняться против значительно превосходящих его сил.;;;X,,,,,
DPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;This Chief of the Army directs the utilization of the ground forces according to the doctrine of Armoured Spearheads. This means that spearheading speedy offensives with tank units followed up with encircling infantry are essential for wearing down the enemy and for winning the war.;Ce chef de l’armйe contrфle l’utilisation des troupes terrestres selon la doctrine du fer de lance blindй, ce qui consiste а йpuiser le camp adverse en lanзant des offensives-йclair avec des blindйs, suivis d'infanterie qui encercle l'ennemi en dйroute.;Questo Capo dell'Esercito gestisce l'utilizzo delle forze di terra secondo la dottrina dei reparti d'assalto corazzati: attacchi veloci di carri armati, seguiti dalla fanteria disposta in modo da circondare le truppe ostili, и il sistema per logorare il nemico e vincere la guerra.;Este Jefe del Ejйrcito de Tierra basa el empleo de las fuerzas de tierra en la doctrina de las puntas de ataque acorazadas. Esto significa que las ofensivas con puntas de lanza blindadas formadas por tanques seguidos por una infanterнa envolvente son esenciales para derrotar al enemigo y ganar la guerra.;Dieser Armeechef leitet den Einsatz der Bodenstreitkrдfte anhand der Armoured Spearhead-Doktrin. Dies bedeutet, dass es zur Zermьrbung des Feindes und zum Kriegsgewinn erforderlich ist, schnelle Panzerspitzen voranzutreiben und den dadurch zerrьtteten Feind einzukreisen.;Ten dowуdca prowadzi siіy l№dowe zgodnie z doktryn№ pancernej piкњci. Oznacza to, їe za najlepszy sposуb na wyczerpanie wroga i pokonanie go, uwaїa przeprowadzenie bіyskawicznego uderzenia czoіgami i okr№їenia rozbitych siі wroga piechot№.;;Этот командующий сухопутными войсками руководит действиями армии в соответствии с доктриной танкового прорыва. Для истощения противника и победы в войне нужно прорвать его оборону танковым клином, а следующие за танками пехотные части довершат окружение и разгром.;;;X,,,,
DPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;This Chief of the Army directs the utilization of the ground forces according to the doctrine of Guns and Butter. This means allowing the operational commanders freedom of command while ensuring the best possible supplies and training for the Army are essential for wearing down the enemy and for winning the war.;Ce chef de l’armйe contrфle l’utilisation des troupes terrestres selon la doctrine du soutien logistique prioritaire. Il estime qu’il est prйfйrable de permettre aux commandants de contrфler et de focaliser les forces militaires sur l’assistance logistique aux soldats.;Questo Capo dell'Esercito gestisce l'utilizzo delle forze di terra secondo la dottrina delle armi e rifornimenti: lasciare la libertа decisionale ai comandanti operativi, assicurando al contempo le circostanze migliori possibili per l'esercito, и il sistema per logorare il nemico e vincere la guerra.;Este Jefe del Ejйrcito de Tierra basa el empleo de las fuerzas de tierra en la doctrina de 'los caсones y la mantequilla'. Esto significa que, para derrotar al enemigo y ganar la guerra, es esencial dar libertad de mando a los comandantes operacionales y, en vez de mandar, asegurar las mejores condiciones para el ejйrcito.;Dieser Armeechef leitet den Einsatz der Bodenstreitkrдfte anhand der Kanonen-und-Butter-Doktrin. Dies bedeutet, dass es zur Zermьrbung des Feindes und zum Kriegsgewinn erforderlich ist, den Einsatzfьhrern freie Hand bei der Befehlsstrukturierung zu lassen um der Armee die besten Voraussetzungen zu schaffen.;Ten dowуdca prowadzi siіy l№dowe zgodnie z doktryn№ chleba i broni. Oznacza to danie oficerom maksymalnej swobody dowodzenia i zapewnienie im warunkуw do dziaіania.;;Этот командующий сухопутными войсками руководит действиями армии в соответствии с доктриной личной инициативы. Для истощения противника и победы в войне Верховное Командование должно предоставить полевым командирам свободу в принятии оперативных решений и сосредоточиться на вопросах стратегии и обеспечения войск.;;;X,,,,
DPERSONALITY_OPEN_SEAS_DOCTRINE;This Chief of the Navy directs the utilization of the Naval forces according to the doctrine of Open Seas. This means that the control of sea lanes to far-flung resources is essential for winning the war.;Ce chef de la marine estime qu’il est nйcessaire, pour remporter la guerre, de contrфler les voies maritimes empruntйes par les convois,;Questo Capo della Marina gestisce l'utilizzo delle forze navali secondo la dottrina dei mari aperti: controllare le rotte navali delle risorse и essenziale per vincere la guerra.;Este Jefe de la Marina de Guerra basa el empleo de las fuerzas navales en la doctrina de los mares abiertos. Esto significa que el control de las rutas marнtimas para llevar los recursos allende los mares es esencial para ganar la guerra.;Der Marinechef leitet den Einsatz der Seestreitkrдfte anhand der Open Seas-Doktrin. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, die Seewege kritischer Ressourcen zu kontrollieren.;Ten dowуdca prowadzi siіy morskie zgodnie z doktryn№ otwartych mуrz. Wedіug niej kontrola szlakуw prowadz№cych do dalekich џrуdeі surowcуw jest kluczowa dla zwyciкstwa.;;Этот командующий ВМФ руководит действиями флота в соответствии с доктриной открытых морей. Для победы в войне необходим контроль над морскими коммуникациями.;;;X,,,,,,,,,
DPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;This Chief of the Navy directs the utilization of the Naval forces according to the doctrine of Decisive Battle. This means that in order to win the war it is essential to amass a large battle fleet and destroy the enemy's force on the High Seas.;Cet homme a pour objectif de rassembler une importante flotte d’attaque pour la confronter aux forces ennemies au cours de batailles en pleine mer.;Questo Capo della Marina gestisce l'utilizzo delle forze navali secondo la dottrina della battaglia decisiva: assemblare una grande flotta da guerra e distruggere il nemico in alto mare и essenziale per vincere la guerra.;Este Jefe de la Marina de Guerra basa el empleo de las fuerzas navales en la doctrina de la batalla decisiva. Esto significa que, para ganar la guerra, es esencial acumular una gran flota de guerra y destruir las fuerzas del enemigo en alta mar.;Der Marinechef leitet den Einsatz der Seestreitkrдfte anhand der Entscheidungsschlacht-Doktrin. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, eine groЯe Schlachtflotte zu konzentrieren und die feindlichen Seestreitkrдfte auf hoher See zu vernichten.;Ten dowуdca prowadzi siіy morskie zgodnie z doktryn№ rozstrzygaj№cej bitwy. Wedіug niej najszybsz№ drog№ do zwyciкstwa jest sprowokowanie wielkiej bitwy, w ktуrej flota przeciwnika ulegnie zniszczeniu.;;Этот командующий ВМФ руководит действиями флота в соответствии с доктриной решающего сражения. Для победы в войне нужно сосредоточить большие силы надводных кораблей и уничтожить вражеский флот в открытом море.;;;X,,,,,,,,,
DPERSONALITY_POWER_PROJECTION_DOCTRINE;This Chief of the Navy directs the utilization of the Naval forces according to the doctrine of Power Projection, which means that by concentrating all power from aircraft, torpedoes and artillery fire into a suitable area a good chance for winning the war is ensured.;Ce chef de la marine contrфle l’utilisation des forces navales selon la doctrine de la suprйmatie qui consiste а focaliser toutes les forces disponibles sur une seule et mкme zone afin d'y remporter la victoire.;Questo Capo della Marina gestisce l'utilizzo delle forze navali secondo la dottrina della proiezione della potenza marittima: concentrare il fuoco di velivoli, siluri e artiglieria in un'area idonea и un buon sistema per vincere la guerra.;Este Jefe de la Marina de Guerra basa el empleo de las fuerzas navales en la doctrina de la proyecciуn de poder, lo cual significa que -al concentrar todo el poderнo del fuego de la aviaciуn, los torpedos y la artillerнa en un бrea apropiada- se asegura una buena posibilidad de ganar la guerra.;Der Marinechef leitet den Einsatz der Seestreitkrдfte anhand der Machtprojektions-Doktrin. Dies bedeutet, dass die Konzentration sдmtlicher Feuerkraft von Flugzeugen, Torpedos und Artillerie auf ein geeignetes Gebiet gute Chancen zum Kriegsgewinn bietet.;Ten dowуdca prowadzi siіy morskie zgodnie z doktryn№ demonstracji potкgi. Wedіug niej skoncentrowanie caіej siіy samolotуw, torped i ognia artyleryjskiego na jednym, ograniczonym obszarze uіatwi przeіamanie oporu wroga i osi№gniкcie decyduj№cego zwyciкstwa.;;Этот командующий ВМФ руководит действиями флота в соответствии с доктриной концентрации силы. Войну можно выиграть путем сосредоточения в подходящем районе всех сил надводного и подводного флота и авиации.;;;X,,,,,
DPERSONALITY_INDIRECT_APPROACH_DOCTRINE;This Chief of the Navy directs the utilization of the Naval forces according to the doctrine of Indirect Approach. This means that in order to win the war it is essential to avoid decisive battle and instead destroy the enemy's convoys and warships piecemeal.;Ce chef de la marine choisit d’йviter les attaques dйcisives et privilйgie l’attaque progressive de convois et de navires ennemis pour remporter la guerre.;Questo Capo della Marina gestisce l'utilizzo delle forze navali secondo la dottrina dell'approccio indiretto: evitare le battaglie decisive e distruggere convogli e navi da guerra poco per volta и essenziale per vincere la guerra.;Este Jefe de la Marina de Guerra basa el empleo de las fuerzas navales en la doctrina de la aproximaciуn indirecta. Esto significa que, para ganar la guerra, es esencial evitar una batalla decisiva y, en vez de ello, destruir los convoyes enemigos y los buques de guerra uno por uno.;Der Marinechef leitet den Einsatz der Seestreitkrдfte anhand der Doktrin des indirekten Ansatzes. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, Entscheidungsschlachten zu vermeiden und stattdessen die Konvois und Kriegsschiffe des Feindes nach und nach zu zerstцren.;Ten dowуdca prowadzi siіy morskie zgodnie z doktryn№ poњredniego podejњcia. Wedіug niej nie warto wdawaж siк w wielkie bitwy pancernikуw, a kluczowym zadaniem jest stopniowe niszczenie konwojуw zaopatrzeniowych;;Этот командующий ВМФ руководит действиями флота в соответствии с доктриной непрямого воздействия. Для победы в войне нужно избегать решающего сражения и уничтожать вражеские конвои и боевые корабли по частям.;;;X,,,,,,,
DPERSONALITY_BASE_CONTROL_DOCTRINE;This Chief of the Navy directs the utilization of the Naval forces according to the doctrine of Base Control. This means that in order to win the war it is essential to strike directly at the enemy bases (ports and islands), and take control of them with air and land forces.;Ce chef de la marine estime qu’il est nйcessaire, pour gagner la guerre, d’attaquer directement les bases militaires de l’ennemi (ports et оles) et d’en prendre le contrфle par voie aйrienne et terrestre.;Questo Capo della Marina gestisce l'utilizzo delle forze navali secondo la dottrina del controllo delle basi: colpire direttamente le basi nemiche (porti e isole) e assumerne il controllo con forze aeree e terrestri и essenziale per vincere la guerra.;Este Jefe de la Marina de Guerra basa el empleo de las fuerzas navales en la doctrina del control de bases. Esto significa que, para ganar la guerra, es esencial atacar directamente las bases enemigas (puertos e islas) y tomar el control de las mismas con fuerzas terrestres y aйreas.;Der Marinechef leitet den Einsatz der Seestreitkrдfte anhand der Basiskontrolldoktrin. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, feindliche Stьtzpunkte (Hдfen und Inseln) direkt anzugreifen und sie mit Luft- und Bodenstreitkrдften zu kontrollieren.;Ten dowуdca prowadzi siіy morskie zgodnie z doktryn№ ataku na bazy. Wedіug niej naleїy skoncentrowaж uderzenie na wrogich portach niszcz№c ich bazк zaoparzeniowo-naprawcz№..;;Этот командующий ВМФ руководит действиями флота в соответствии с доктриной захвата баз. Для победы в войне нужно наносить удары непосредственно по вражеским военно-морским базам (в портах и на островах) и захватывать их с помощью авиации и армии.;;;X,,,,,,,
DPERSONALITY_AIR_SUPERIORITY_DOCTRINE;This Chief of the Air Force directs the utilization of the air force according to the doctrine of Air Superiority. This means that in order to win the war it is essential to control the skies above the battlefield.;Ce chef de l’armйe de l’air estime qu’il est nйcessaire, pour remporter la guerre, de prendre le contrфle du ciel dans la zone de combat.;Questo Capo dell'Aeronautica gestisce l'utilizzo delle forze aeree secondo la dottrina della superioritа aerea: controllare i cieli al di sopra dei campi di battaglia и essenziale per vincere la guerra.;Este Jefe de las Fuerzas Aйreas dirige la utilizaciуn de las mismas mediante la doctrina de la superioridad aйrea. Esto significa que, para ganar la guerra, es esencial controlar los cielos del campo de batalla.;Dieser Luftwaffenchef leitet den Einsatz der Luftstreitkrдfte anhand der Luftьberlegenheits-Doktrin. Dies bedeutet, dass zum Gewinn des Kriegs der Luftraum ьber den Schlachtfeldern kontrolliert werden muss.;Ten dowуdca prowadzi siіy powietrzne zgodnie z doktryn№ przewagi powietrznej. Wedіug niej kontrola nieba nad polem walki jest kluczowa dla zwyciкstwa.;;Этот командующий ВВС сил руководит действиями авиации в соответствии с доктриной превосходства в воздухе. Для победы в войне нужно контролировать небо над зоной боевых действий.;;;X,,,,,,,,,
DPERSONALITY_NAVAL_AVIATION_DOCTRINE;This Chief of the Air Force directs the utilization of the air force according to the doctrine of Naval Aviation. This means that in order to win the war it is essential to work closely with the Navy and destroy the enemy Navy, preferably by bombing it to pieces.;Ce chef demande а ses pilotes de travailler en collaboration йtroite avec la marine afin de dйtruire les flottes ennemies.;Questo Capo dell'Aeronautica gestisce l'utilizzo delle forze aeree secondo la dottrina dell'aviazione navale: lavorare a stretto contatto con la marina e distruggere le navi nemiche (preferibilmente bombardandole) и essenziale per vincere la guerra.;Este Jefe de las Fuerzas Aйreas dirige la utilizaciуn de las mismas mediante la doctrina de la aviaciуn naval. Esto significa que, para ganar la guerra, es esencial trabajar codo con codo con la Armada y destruir la marina de guerra enemiga, a ser posible bombardeбndola hasta que no queden mбs que pedacitos.;Dieser Luftwaffenchef leitet den Einsatz der Luftstreitkrдfte anhand der Marineflieger-Doktrin. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, eng mit der Marine zusammenzuarbeiten um die feindlichen Seestreitkrдfte, vorzugsweise durch Bombardierung, in Stьcke zu zerschmettern.;Ten dowуdca prowadzi siіy powietrzne zgodnie z doktryn№ lotnictwa morskiego. Wedіug niej  kluczowa dla zwyciкstwa jest bliska wspуіpraca z marynark№ i szybkie zniszczenie floty przeciwnika, najlepiej za pomoc№ bomb lotniczych.;;Этот командующий ВВС руководит действиями авиации в соответствии с доктриной морской авиации. Для победы в войне нужно тесно взаимодействовать с ВМФ и уничтожать вражеские корабли путем массированного применения морской штурмовой и бомбардировочной авиации.;;;X,,,,,
DPERSONALITY_ARMY_AVIATION_DOCTRINE;This Chief of the Air Force directs the utilization of the Air forces according to the doctrine of Army Aviation. This means that in order to win the war it is essential to work closely with the Army and destroy the enemy land forces, preferably by bombing them to pieces.;Ce dirigeant de l’armйe de l’air contrфle l’utilisation des forces aйriennes selon la doctrine de l’aviation terrestre. Cette derniиre prфne une collaboration йtroite avec les forces terrestres afin de pulvйriser les forces terrestres de l’ennemi.;Questo Capo dell'Aeronautica gestisce l'utilizzo delle forze aeree secondo la dottrina dell'aviazione dell'esercito: lavorare a stretto contatto con l'esercito e distruggere le forze terrestri nemiche (preferibilmente bombardandole) и essenziale per vincere la guerra.;Este Jefe de las Fuerzas Aйreas dirige la utilizaciуn de las mismas mediante la doctrina de la aviaciуn del ejйrcito. Esto significa que, para ganar la guerra, es esencial trabajar codo con codo con el ejйrcito de tierra y destruir asн las fuerzas terrestres del enemigo, a ser posible bombardeбndolas hasta que no queden mбs que pedacitos.;Dieser Luftwaffenchef leitet den Einsatz der Luftstreitkrдfte anhand der Heeresflieger-Doktrin. Dies bedeutet, dass es zum Kriegsgewinn erforderlich ist, eng mit der Armee zusammenzuarbeiten und feindliche Landeinheiten, vorzugsweise durch Bombardierung, in Stьcke zu zersprengen.;Ten dowуdca prowadzi siіy powietrzne zgodnie z doktryn№ nalotуw l№dowych. Wedіug niej kluczowa dla zwyciкstwa jest jest bliska wspуіpraca z siіami l№dowymi i szybkie zniszczenie armii przeciwnika, najlepiej za pomoc№ bomb.;;Этот командующий ВВС руководит действиями авиации в соответствии с доктриной армейской авиации. Для победы в войне нужно тесно взаимодействовать с сухопутными частями и уничтожать вражеские сухопутные силы путем массированного применения армейской штурмовой и бомбардировочной авиации.;;;X,,,,,
