#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EVT_830456_DESC;The time is fast approaching for the next general election to be called.  With this in mind, Prime Minister Archibald Ramsay today paid a visit to the King at Buckingham Palace.  At an informal audience, Ramsay suggested that with the uncertain situation at home and abroad, it might be advisable to postpone the general election, and for the government to instead govern through the mechanism of the King's Privy Council.  This would give Ramsay and his government the means by which more thorough reforms in the country could be implemented.  Though tempting, the suspension of elections would be a controversial decision, one that might be unpopular and would represent a break with centuries of tradition.;;;;;;;#TODO;;;X
EVT_7146000_DESC;Aviation industry leaders have put forward a proposal to form a new corporation to establish regular air links between Canada and the Caribbean Federation.  Through the use of long-range float planes, it is proposed to begin regular passenger and cargo transportation from Halifax to Bermuda, the Bahamas, Jamaica, and Georgetown.  Such air links will not only bring the two countries closer together, but also spark aeronautics research and devlopment.  However, the new company will require regular financial subsidies from the Canadian government.  It has been suggested that the new company should be named the Royal Atlantic Aeronautics Corporation, or RAAC.;;;;;;;#TODO;;;X
EVT_7146001_DESC;The government of Canada has decided to fund the creation of a new company that will establish air links between our two countries by long-range float planes.   The Royal Atlantic Aeronautics Corporation, or the RAAC, will operate from airfields in Bermuda, Andros, Jamaica, and Georgetown, and will offer passenger and cargo transportation.  In addition to bringing Canada and the Caribbean Federation closer together, it will undoubtedly spark aeronautics research in our country.;;;;;;;#TODO;;;X
EVT_7146100_DESC;A number of university presidents and scientific leaders, meeting in Toronto, have called for the formation of a new organization to co-ordinate research work among the member states of the British Empire.  By sponsoring increased links between scientists and academics across the vast distances between the members states of the British Empire, it is to be hoped that research in a wide range of fields will be accelerated.  The work of co-ordinating these links is to be carried out by an umbrella organization, the Imperial Scientific and Academic Council, or ISAC, headquartered in and primarily funded by Canada, with contributions from the rest of the Empire.;;;;;;;#TODO;;;X
EVT_7146200_DESC;With the revolution in Britain, the rest of the British Empire was left to fend for itself without the support of the Mother Country.  While the members of the Empire have worked to improve their strength in the decade since, they remain potentially vulnerable in a hostile world.  As such, suggestions have been made to form an Imperial Economic Development Corporation, to expand the industrial strength of the Empire.  Funded by Canada, home of the Royal Family and the strongest remaining member of the Empire, the IEDC would serve to improve the economic power of the Empire for the challenges that remain.;;;;;;;#TODO;;;X
EVT_7146300_DESC;The worsening international situation has drawn attention to the military strength of the British Empire.  In particular, leaders of the Royal Air Force have suggested leveraging the diversity of the Empire to improve the strength of the air forces of the Empire.  Such an Imperial Air Training Scheme would operate to co-ordinate the training of pilots and air crews, allowing the Empire to field new air units more rapidly.  Canada, as the strongest state in the Empire, would be required to provide a significant portion of the funding for the programme.;;;;;;;#TODO;;;X
EVT_972602_DESC;Built as a display hall for the Great Exhibition of 1851, the Crystal Palace was a cast-iron and plate-glass marvel of the old British Empire. During the Weltkrieg, it was transformed into the Royal Navy training station HMS Victory VI. As a result, it became one of the last holdouts of royalists in London, and was destroyed by fire during the Revolution. The gutted skeleton of the building has been left to rot over the last ten years as London worked on its industry and defences. Now that it has been decided that the city will host the Second Congress of the Syndicalist International next year, a proposal have been put forward to rebuild the Crystal Palace as an exhibition hall where the men and women of the International will display their industrial and cultural products as equals, not as imperial trophies. However, it would be an expensive undertaking to get it ready in time for next year, and a large part of the Congress advocates simply tearing the ruins down and expanding the surrounding parkland.;;;;;;;#TODO;;;X
EVT_9728575_DESC;Mussolini, Valois, Beria and other interested parties arrived in Birmingham today to discuss their common ground. It has been agreed that Maximism, Sorelianism and National-Syndicalism all share basic principles of state controlled economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', available in all appropriate languages.;;;;;;;#TODO;;;X
EVT_9728576_DESC;Valois returned today from Britain. It has been agreed that Maximism, Sorelianism, Bolshevism and National-Syndicalism all share basic principles of the total state, centrally planned economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', available in all appropriate languages.;;;;;;;#TODO;;;X
EVT_9728577_DESC;Mussolini returned today from Britain. It has been agreed that Maximism, Sorelianism, Bolshevism and National-Syndicalism all share basic principles of the total state, centrally planned economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', available in all appropriate languages.;;;;;;;#TODO;;;X
EVT_9728578_DESC;After Oswald Mosley's meeting with other leftist leaders, it has been agreed that Maximism, Sorelianism and National-Syndicalism all share basic principles of state controlled economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', available in all appropriate languages.;;;;;;;#TODO;;;X
EVT_9728579_DESC;After Oswald Mosley's meeting with other leftist leaders, it has been agreed that Maximism, Sorelianism and National-Syndicalism all share basic principles of state controlled economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', available in all appropriate languages. William Foster applauded the initiative and expressed his support for Totalism.;;;;;;;#TODO;;;X
EVT_9728581_DESC;Comrade Beria returned today from Britain. It has been agreed that Maximism, Sorelianism, Bolshevism and National-Syndicalism all share basic principles of the total state, centrally planned economics, the total involvement of the state in internal affairs and the importance of the state in preserving Socialism. This belief in Totalitarian Socialism has been abbreviated to 'Totalism'. For this reason, the leaders of the factions present have all signed a document entitled 'The Totalist Charter', while Beria has announced his intention to argue for an implementation of Totalism across the country, consternates some of the more liberal elements of the government.;;;;;;;#TODO;;;X
EVT_9999_DESC;Article XII of the Treaty of Bucharest forbid Romania to construct or maintain any fortifications or armed forces in the Oltenia. Once the home front was secured from a possible royalist counter-revolution, Codreanu turned his attention to foreign policy with increasingly daring acts. On the 19th March 1935, the treaty of Bucharest was violated by Romania as military conscription was reintroduced (the treaty stated that the Romanian Army should not exceed 45.000 men). When nothing more than official protests from German empire and Austria-Hungary ensued, Codreanu proceeded one year later to occupy the demilitarised Oltenia, again violating the treaty.;;;;;;;#TODO;;;X
EVT_9998_DESC;Now comes time of the Final Test, when we will meet real resistance from the Germans and their reactionary lap dogs. The provinces of Alsace and Lorraine were lost to the North German Federation after its victory in the Franco-Prussian War ( 1870-1871 ) over forces of the Second French Empire and has belonged to the German Empire ever since. Victory in the Weltkrieg allowed German Empire to even absorb remaining parts of Lorraine into their reactionary empire. Now with our military preparations completed, it is the time to confront German Empire and demand territory which rightfully belong to the french nation !;;;;;;;#TODO;;;X
EVT_9997_DESC;With the reassurgent Russian state gaining full control over the once disputed Transiberian railroad from Mongolia, commercial contacts have increased massively with the Transamur Republic, and Japan economic presence in Transamur has started to fade in comparison with the inflow of massive russian investments. The Economy of Transamur, a rebellious state created via japanese incursion during russian civil war started to experience serious economical difficulties thanks to relatively unrestricted influx of cheaper goods, coming through recently liberated Transiberian railroad. The leaders of its influential business community have approached the russian government in secret, suggesting that it may be in their best interests to rejoin Russia, and that they could probably organise a popular vote on this issue.;;;;;;;#TODO;;;X
EVT_9996_DESC;With newest aircraft carrier RNS Rebecca fully operational, the Republican Navy was ready to reclaim her rightful position among the mightiest navies of the world. However, target of her first action was heavily disputed. Most officers opted for a full scale naval demonstration near Ireland or even further westwards - near Azores or Iceland. But naval manouvers of such large scale would surely drawn attention of much powerfull and heavily armed Hochseeflotte and even a smaller Canadian Royal navy might be forced to organize countermeasure against our manouvers . Less radical ones and most of members of the Congress of Trade Unions, opted for a small scale manouvers, possibly without leaving British territorial waters. Ultimately the Naval Commisar was inclined in favour for the Irish option.;;;;;;;#TODO;;;X
EVT_9995_DESC;After our humiliation by La Plata in the Great South American War in 1935, our Fatherland has come a long way. Now is the time to repay our blood debt to our forefathers and once again Brazilians will march for their rights. To War!;;;;;;;#TODO;;;X
EVT_9994_DESC;Originally an idea of Arab nationalists in Egypt, the planned Congress of Arab Nations will be a huge cultural event of great geopolitical and geostrategical importance hosted in Cairo. Professors, clerics, historians, novelists, diplomats and even cooks from all corners of the Arab world are invited to join this tribute to Arab culture. This Congress can improve the economic situation in Cairo and our relations with Arab world, however foreign occupiers of Arab lands might view this as threatening Pan-Arabist propaganda.;;;;;;;#TODO;;;X
EVT_9993_DESC;Russia needs oil, and lots of it, if it is going to keep up with the other major powers in industrial and military production.  While we have limited oil fields in the central Siberia, our former province of Azerbaijan has a gigantic petroleum industry, which it is finding increasingly difficult to maintain.  Should we seek to promote our interests in this region?;;;;;;;#TODO;;;X
EVT_9992_DESC;"History of French literature is unique. Centuries of great masterpieces, which deliver to the reader ultimate feelings. The newest book promoted very hard by Arts Highest Bureau is about Catholic priest who after new acts on religion are passed after Second Revolution comes to village and tries to spread the word of God. Unfortunately the government has send young syndicalist activist to teach village about blessings of Marxism. Soon the love triangle is created between priest, agitator and daugther of wealthy kulak. Story ends sucesfully, as the priest loses his faith and becomes a mechanic, and agitator and girl start new happy life together with Marx. Critics from noncommunist countries say that this is utter piece of propaganda and it's place in rubbish, however normal folks in Syndie France are quite liking it.""";;;;;;;#TODO;;;X
EVT_9991_DESC;Claude Lйvi-Strauss is internationally famous philosopher, antrophologist and ethnologist. He has brought out his genious and sightful studies on Beduin tribes, which were banned by National Frence censorship but they were smuggled to Italy and Ottoman Empire where they were translated on many languages. He gained enormous fame as new young scientist, however government of National France treats him unfavorably. He was in prison for two years in 1933 and 1935 for 'producing anti-government literature' which was due to his pro-socialist views. Now he wants to emigrate elsewhere. Our secret services suspect that he wants to go to Commune of France. What we should do with him?;;;;;;;#TODO;;;X
EVT_9990_DESC;Signed in 1871 after crushing defeat of Second French Empire by forces of the North German Federation  between representatives of North German Federation and four southern German states this constitution was a cornerstone for enlarging North German Federation thus giving the enlarged entity a new identity as the Deutsches Reich. According to the constitution, head of state or a president of Confederation bearing title of German Emperor is the King of Prussia as the president of the Bundesrat, the council of representatives of the German states. The Emperor installs the Chancellor, the head of government. Laws are enacted by the Bundesrat and the Reichstag, the Imperial Diet elected by male Germans above the age of 21 years. Hovewer it is Emperor, not Bundesrat or Reichstag, who holds power in the German Empire. With an option to dissolve Reichstag when he wish so, it is clear, that main political power in German Empire rests not in Reichstag as ultimate expression of peoples will, but in the hands of unelected German Emperor. ;;;;;;;#TODO;;;X
EVT_9989_DESC;Now that we have chosen a new form of German empire, we must decide, who shall be the next German Emperor. Part of politicians agree that best candidate is scion of the house of Hohenzoller Wilhelm IV . Some are arguing that it was Hohenzollerns absurd ambition which brought Germany on the brink of destruction and believe, that next German emperor should be Ernest Augustus from the house of Hannover.  Smaller group believe that the crown should be offered to Ruprecht I from the house of Wittelsbach. And there are some who think that next Emperor of Germany should be grand duke Boris Vladimirovich, who is a member of the powerfull house of Romanov..;;;;;;;#TODO;;;X
EVT_9988_DESC;Prime Minister and King have anxiously observed the political developments concerning our American neighbours and it is clear to him that a crisis is coming to a head. The recent political infighting concerning Bill C-7 has spent much of the government’s political capital and preparations for a showdown with the Union of Britain claim much of Canada’s resources, but King feels something must be done! If a syndicalist wins the upcoming federal election, it will be a terrible threat to our national security, but the America First movement is also highly unpredictable! The crisis is deepening, what should we do?;;;;;;;#TODO;;;X
EVT_3206350_DESC;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;#TODO;;Today the Forschungs-und Lehrgemeinschaft das Ahnenerbe e.V. sent Dr. Ernst Schafer and several Ahnenerbe scientists to far off Tibet in pursuit of answers to the tales of a mythical city named 'Agaratha' that was founded by the descendants of Atlantis, who are in turn 'Aryan'. Some members believe that the 'Aryans' were a race that descended from the heavens to settle Atlantis before it was flooded. They also claim the descendants Aryans are now the Nordic (German) race and hope to prove an ancestral link.;X
EVT_3206350_NAME;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;The Ahnenerbe Expedition to Tibet;#TODO;;The Ahnenerbe Expedition to Tibet;X
EVT_55641_DESC;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;#TODO;;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has been one of the Reichs most distinguished politicians and diplomats. For many years he has advocated a fair and humane treatment of the native population in our colonies, and has signifiantly shaped the laws and social system for all of Germany's colonial territories. With Solf's death, one of the last old colonial administrators has passed away, and a new Generation will now enter the Reichskolonialamt, to shape the destiny of the German Weltreich.;X
EVT_55641_NAME;The Death of Wilhelm Solf;The Death of Wilhelm Solf;The Death of Wilhelm Solf;The Death of Wilhelm Solf;The Death of Wilhelm Solf;The Death of Wilhelm Solf;The Death of Wilhelm Solf;#TODO;;The Death of Wilhelm Solf;X
EVT_55642_DESC;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;#TODO;;Today, Wilhelm Solf died. The first governour of Mittelafrika and longtime Reich Secretary for the colonies, Solf has created most of Mittelafrika's laws and social security system, including the ban on forced labour. Many of these ridicilous laws have been preventing Statthalter Gцring from putting the native labour force to good use, and to exploit Mittelafrika to the greatest economical gain. But with Solf finally out of the way, and the Reichskolonialamt finally led by administrator more friendly to Gцring, we can finally do things differently in Mittelafrika! By cutting social security, and reinstating forced labour, we will be able to cheaply exploit many new sources of income!;X
EVT_55642_NAME;Wilhelm Solf died;Wilhelm Solf died;Wilhelm Solf died;Wilhelm Solf died;Wilhelm Solf died;Wilhelm Solf died;Wilhelm Solf died;#TODO;;Wilhelm Solf died;X
EVT_9987_DESC;We have decided to form an independent valuable bloc. In Ministry of Foreign Affairs there are two conceptions, both with many supporters. First conception is about forming new bloc in the Central Europe, based on cooperation between Poland and Austria-Hungary, into which we can gradually incorporate other members of Mitteleuropa alliance dissatisfied with German approach towards them. Second theory is about creating the alliance with Russia, thus changing the world's international policy in high degree. Which area we should concentrate on?;;;;;;;#TODO;;;X
EVT_9986_DESC;We have decided to form an independent valuable bloc. In Ministry of Foreign Affairs there are two conceptions, both with many supporters. First conception is about forming new bloc in the Central Europe, based on cooperation between Poland and Danubian Federation, into which we can gradually incorporate other memebrs of Mitteleuropa alliance dissatisfied with German approach towards them. Second theory is about creating the alliance with Russia, thus changing the world's international policy in high degree. Which area we should concentrate on?;;;;;;;#TODO;;;X
EVT_9985_DESC;If China is to be great we should adopt german practices. Of all the nations of the world Germany has a thousand times proven itself to be the greates empire of them all. We Chinese should march like germans to be part of this new world empire, and Stennes is the bullheaded man who will lead us towards this goal. German organized factories will be built, and local administrators will be required to learn the German work ethic. All these reforms will surely bring China towards the modern era, however there is likely to be some dissent. Perhaps we should reform slowly and take lesson from the Corporate organization in the South.;;;;;;;#TODO;;;X
EVT_8007_DESC;A secret project has borne fruit. Aircraft contractors, chemists and rocket engineers have joined forces, and the project manager has presented the theoretical results to the General Staff. It is believed that further empirical research can lead to a series of Flying Bombs;Un projet secret a portй ses fruits. Les fournisseurs d’appareils, les chimistes et les constructeurs de missiles ont alliй leurs forces, et le chef de projet a prйsentй nos rйsultats thйoriques а l’Йtat Major gйnйral. On estime que des recherches inductives supplйmentaires pourraient gйnйrer toute une sйrie de bombes volantes.;Un progetto segreto sta per dare i suoi frutti. I produttori di aeromobili, i chimici e gli ingegneri missilistici hanno unito le loro forze e il responsabile del progetto ha presentato i risultati teorici allo Stato Maggiore. Ci sono buone probabilitа che la successiva ricerca empirica porti alla realizzazione di una serie di bombe volanti.;Un proyecto secreto ha fructificado. Los contratistas de aviaciуn, los quнmicos y los ingenieros de cohetes han unido sus fuerzas, y el director del proyecto ha presentado los resultados teуricos al estado mayor. Se cree que una investigaciуn empнrica posterior podrнa llevar a una serie de bombas volantes.;Ein geheimes Projekt zeigt Ergebnisse. Flugzeuglieferanten, Chemiker und Raketeningenieure haben sich zusammengetan und der Projektmanager hat die theoretischen Ergebnisse dem Generalstab prдsentiert. Man glaubt, dass weitere Forschung zu einer Serie von Flugbomben fьhren kann.;Tajny projekt wydaі owoce. Producenci samolotуw, chemicy oraz inїynierowie rakietowi poі№czyli siіy, a menedїer projektu zaprezentowaі teoretyczne wyniki naczelnemu dowуdztwu. Uwaїa siк, їe dalsze badania empiryczne doprowadz№ do stworzenia lataj№cych bomb.;;#TODO;;;X
EVT_8008_DESC;A secret project has borne fruit. Aircraft contractors, chemists and rocket engineers have joined forces, and the project manager has presented the theoretical results to the General Staff. It is believed that further empirical research can lead to a series of Flying Rockets. Some say that this could even take us to the Moon some day;Un projet secret a portй ses fruits. Les fournisseurs d’appareils, les chimistes et les constructeurs de missiles ont alliй leurs forces, et le chef de projet a prйsentй nos rйsultats thйoriques а l’Йtat Major gйnйral. On estime que des recherches inductives supplйmentaires pourraient gйnйrer toute une sйrie de missiles volants. Certains disent que ceci pourrait nous permettre d’aller un jour jusqu’а la lune.;Un progetto segreto sta per dare i suoi frutti. I produttori di aeromobili, i chimici e gli ingegneri missilistici hanno unito le loro forze e il responsabile del progetto ha presentato i risultati teorici allo Stato Maggiore. Ci sono buone probabilitа che la successiva ricerca empirica porti alla realizzazione di una serie di razzi spaziali. Qualcuno dice che un giorno potrebbero persino portarci sulla luna.;Un proyecto secreto ha fructificado. Los contratistas de aviaciуn, los quнmicos y los ingenieros de cohetes han unido sus fuerzas, y el director del proyecto ha presentado los resultados teуricos al estado mayor. Se cree que una investigaciуn empнrica posterior podrнa llevar a una serie de cohetes volantes. Hay quien dice que algъn dнa podrнan hasta llevarnos a la Luna.;Ein geheimes Projekt zeigt Ergebnisse. Flugzeuglieferanten, Chemiker und Raketeningenieure haben sich zusammengetan und der Projektmanager hat die theoretischen Ergebnisse dem Generalstab prдsentiert. Man glaubt, dass weitere Forschung zu einer Serie von Raketen fьhren kann. Manche sagen sogar, das wir damit eines Tages auf den Mond fliegen kцnnten.;Tajny projekt wydaі owoce. Producenci samolotуw, chemicy oraz inїynierowie rakietowi poі№czyli siіy, a menedїer projektu zaprezentowaі teoretyczne wyniki naczelnemu dowуdztwu. Uwaїa siк, їe dalsze badania empiryczne doprowadz№ do stworzenia rakiet niekierowanych. Niektуrzy nawet twierdz№ їe umoїliwi to kiedyњ lot na Ksiкїyc.;;#TODO;;;X
